"ENTREZID","category","gene_Symbol"
"1504","Acinar cells","CTRB1"
"3816","Acinar cells","KLK1"
"11317","Acinar cells","RBPJL"
"256297","Acinar cells","PTF1A"
"10136","Acinar cells","CELA3A"
"5644","Acinar cells","PRSS1"
"6690","Acinar cells","SPINK1"
"653808","Acinar cells","ZG16"
"1056","Acinar cells","CEL"
"63036","Acinar cells","CELA2A"
"1360","Acinar cells","CPB1"
"1990","Acinar cells","CELA1"
"6035","Acinar cells","RNASE1"
"280","Acinar cells","AMY2B"
"1358","Acinar cells","CPA2"
"1357","Acinar cells","CPA1"
"23436","Acinar cells","CELA3B"
"5406","Acinar cells","PNLIP"
"440387","Acinar cells","CTRB2"
"5319","Acinar cells","PLA2G1B"
"5645","Acinar cells","PRSS2"
"1208","Acinar cells","CLPS"
"5967","Acinar cells","REG1A"
"342898","Acinar cells","SYCN"
"5407","Acinar cells","PNLIPRP1"
"11330","Acinar cells","CTRC"
"5068","Acinar cells","REG3A"
"12","Acinar cells","SERPINA3"
"5646","Acinar cells","PRSS3"
"5968","Acinar cells","REG1B"
"629","Acinar cells","CFB"
"9518","Acinar cells","GDF15"
"4582","Acinar cells","MUC1"
NA,"Acinar cells","C15ORF48"
"405753","Acinar cells","DUOXA2"
"8644","Acinar cells","AKR1C3"
"10562","Acinar cells","OLFM4"
"2938","Acinar cells","GSTA1"
"3957","Acinar cells","LGALS2"
"10158","Acinar cells","PDZK1IP1"
"5919","Acinar cells","RARRES2"
"284340","Acinar cells","CXCL17"
"10537","Acinar cells","UBD"
"2939","Acinar cells","GSTA2"
"290","Acinar cells","ANPEP"
"4069","Acinar cells","LYZ"
"51129","Acinar cells","ANGPTL4"
"229","Acinar cells","ALDOB"
"1050","Adipocyte progenitor cells","CEBPA"
"1956","Adipocyte progenitor cells","EGFR"
"2255","Adipocyte progenitor cells","FGF10"
"145258","Adipocyte progenitor cells","GSC"
"4314","Adipocyte progenitor cells","MMP3"
"5468","Adipocyte progenitor cells","PPARG"
"117581","Adipocyte progenitor cells","TWIST2"
"2625","Adipocyte progenitor cells","GATA3"
"2735","Adipocyte progenitor cells","GLI1"
"6608","Adipocyte progenitor cells","SMO"
"23166","Adipocyte progenitor cells","STAB1"
NA,"Adipocyte progenitor cells","WISP2"
"7490","Adipocyte progenitor cells","WT1"
"286133","Adipocyte progenitor cells","SCARA5"
"3224","Adipocyte progenitor cells","HOXC8"
"83439","Adipocyte progenitor cells","TCF7L1"
"3225","Adipocyte progenitor cells","HOXC9"
"3223","Adipocyte progenitor cells","HOXC6"
"3221","Adipocyte progenitor cells","HOXC4"
"25925","Adipocyte progenitor cells","ZNF521"
"6783","Adipocyte progenitor cells","SULT1E1"
"64641","Adipocyte progenitor cells","EBF2"
"145957","Adipocyte progenitor cells","NRG4"
"153201","Adipocytes","SLC36A2"
"5026","Adipocytes","P2RX5"
"3952","Adipocytes","LEP"
"7350","Adipocytes","UCP1"
"1149","Adipocytes","CIDEA"
"63976","Adipocytes","PRDM16"
"431707","Adipocytes","LHX8"
"94240","Adipocytes","EPSTI1"
"4158","Adipocytes","MC2R"
"2867","Adipocytes","FFAR2"
"200576","Adipocytes","PIKFYVE"
"1585","Adipocytes","CYP11B2"
"7097","Adipocytes","TLR2"
"7099","Adipocytes","TLR4"
"153","Adipocytes","ADRB1"
"154","Adipocytes","ADRB2"
"155","Adipocytes","ADRB3"
"2167","Adipocytes","FABP4"
"3604","Adipocytes","TNFRSF9"
"6899","Adipocytes","TBX1"
"219623","Adipocytes","TMEM26"
"6943","Adipocytes","TCF21"
"9370","Adipocytes","ADIPOQ"
"1675","Adipocytes","CFD"
"130399","Adipocytes","ACVR1C"
"6517","Adipocytes","SLC2A4"
"23175","Adipocytes","LPIN1"
"5346","Adipocytes","PLIN1"
"5105","Adipocytes","PCK1"
"5468","Adipocytes","PPARG"
"56729","Adipocytes","RETN"
"4232","Adipocytes","MEST"
"79924","Adipocytes","ADM2"
"6778","Adipocytes","STAT6"
"7030","Adipocytes","TFE3"
"55313","Adipocytes","CPPED1"
"55198","Adipocytes","APPL2"
"80830","Adipocytes","APOL6"
"5827","Adipocytes","PXMP2"
"284119","Adipocytes","CAVIN1"
"183","Adipocytes","AGT"
"6510","Adipocytes","SLC1A5"
"2180","Adipocytes","ACSL1"
"587","Adipocytes","BCAT2"
"57104","Adipocytes","PNPLA2"
"63924","Adipocytes","CIDEC"
"1036","Adipocytes","CDO1"
"341","Adipocytes","APOC1"
"4313","Adipocytes","MMP2"
"10631","Adipocytes","POSTN"
"4015","Adipocytes","LOX"
"1292","Adipocytes","COL6A2"
"7704","Adipocytes","ZBTB16"
"51454","Adipocytes","GULP1"
"8322","Adipocytes","FZD4"
"9322","Adipocytes","TRIP10"
"2252","Adipocytes","FGF7"
"4129","Adipocytes","MAOB"
"8651","Adipocytes","SOCS1"
"405","Adipocytes","ARNT"
"6817","Adipocytes","SULT1A1"
"4837","Adipocytes","NNMT"
"8639","Adipocytes","AOC3"
"9563","Adipocytes","H6PD"
"1593","Adipocytes","CYP27A1"
"64641","Adipocytes","EBF2"
"4332","Adipocytes","MNDA"
"3290","Adipocytes","HSD11B1"
"367","Adipocytes","AR"
"2662","Adipocytes","GDF10"
"1545","Adipocytes","CYP1B1"
"50509","Adipocytes","COL5A3"
"79689","Adipocytes","STEAP4"
"6356","Adipocytes","CCL11"
"10062","Adipocytes","NR1H3"
"64798","Adipocytes","DEPTOR"
"9265","Adipocytes","CYTH3"
NA,"Adipocytes","TUSC5"
"2326","Adipocytes","FMO1"
"36","Adipocytes","ACADSB"
"7498","Adipocytes","XDH"
"84870","Adipocytes","RSPO3"
"9536","Adipocytes","PTGES"
"90993","Adipocytes","CREB3L1"
"23452","Adipocytes","ANGPTL2"
"8038","Adipocytes","ADAM12"
"3929","Adipocytes","LBP"
"4828","Adipocytes","NMB"
"5919","Adipocytes","RARRES2"
"10468","Adipocytes","FST"
"1956","Adipocytes","EGFR"
"56265","Adipocytes","CPXM1"
"718","Adipocytes","C3"
"11096","Adipocytes","ADAMTS5"
"4502","Adipocytes","MT2A"
"7076","Adipocytes","TIMP1"
"79006","Adipocytes","METRN"
"284207","Adipocytes","METRNL"
"4641","Adipocytes","MYO1C"
"1728","Adipocytes","NQO1"
"94056","Adipocytes","SYAP1"
"643911","Adipocytes","CRNDE"
"362","Adipocytes","AQP5"
"706","Adipocytes","TSPO"
"563","Adipocytes","AZGP1"
"4035","Adipocytes","LRP1"
"5140","Adipocytes","PDE3B"
"85329","Adipocytes","LGALS12"
"5176","Adipocytes","SERPINF1"
"1375","Adipocytes","CPT1B"
"83401","Adipocytes","ELOVL3"
"10891","Adipocytes","PPARGC1A"
"9019","Adipocytes","MPZL1"
"4435","Adipocytes","CITED1"
"1805","Adipocytes","DPT"
"3225","Adipocytes","HOXC9"
"23090","Adipocytes","ZNF423"
"11082","Adipocytes","ESM1"
"7054","Adrenergic neurons","TH"
"1644","Adrenergic neurons","DDC"
"1621","Adrenergic neurons","DBH"
"5409","Adrenergic neurons","PNMT"
"6571","Adrenergic neurons","SLC18A2"
"8620","Adrenergic neurons","NPFF"
"10723","Adrenergic neurons","SLC12A7"
"6857","Adrenergic neurons","SYT1"
"358","Airway epithelial cells","AQP1"
"131","Airway epithelial cells","ADH7"
"999","Airway epithelial cells","CDH1"
"266629","Airway epithelial cells","SEC14L3"
"727897","Airway goblet cells","MUC5B"
"94025","Airway goblet cells","MUC16"
"4057","Airway goblet cells","LTF"
"92304","Airway goblet cells","SCGB3A1"
"1755","Airway goblet cells","DMBT1"
"8513","Airway goblet cells","LIPF"
"10232","Airway goblet cells","MSLN"
"10551","Airway goblet cells","AGR2"
"2813","Airway goblet cells","GP2"
"5284","Airway goblet cells","PIGR"
"7032","Airway goblet cells","TFF2"
"362","Airway goblet cells","AQP5"
"5768","Airway goblet cells","QSOX1"
"5349","Airway goblet cells","FXYD3"
"10483","Airway goblet cells","SEC23B"
"634","Airway goblet cells","CEACAM1"
"64083","Airway goblet cells","GOLPH3"
"8836","Airway goblet cells","GGH"
"11227","Airway goblet cells","GALNT5"
"11226","Airway goblet cells","GALNT6"
"4586","Airway goblet cells","MUC5AC"
"4585","Airway goblet cells","MUC4"
"200958","Airway goblet cells","MUC20"
"25803","Airway goblet cells","SPDEF"
"1846","Airway goblet cells","DUSP4"
"9241","Airway smooth muscle cells","NOG"
"59","Airway smooth muscle cells","ACTA2"
"2294","Airway smooth muscle cells","FOXF1"
"140628","Airway smooth muscle cells","GATA5"
"2641","Alpha cells","GCG"
"7276","Alpha cells","TTR"
"2740","Alpha cells","GLP1R"
"170302","Alpha cells","ARX"
"5456","Alpha cells","POU3F4"
"4821","Alpha cells","NKX2-2"
"389075","Alpha cells","RESP18"
"5697","Alpha cells","PYY"
"5126","Alpha cells","PCSK2"
"92745","Alpha cells","SLC38A5"
"7104","Alpha cells","TM4SF4"
"1412","Alpha cells","CRYBA2"
"4825","Alpha cells","NKX6-1"
"83795","Alpha cells","KCNK16"
"5122","Alpha cells","PCSK1"
"5639","Alpha cells","PRRG2"
"153572","Alpha cells","IRX2"
"216","Alpha cells","ALDH1A1"
"10400","Alpha cells","PEMT"
"1113","Alpha cells","CHGA"
"11067","Alpha cells","DEPP1"
"284422","Alpha cells","SMIM24"
"2159","Alpha cells","F10"
"10590","Alpha cells","SCGN"
"169026","Alpha cells","SLC30A8"
