"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"black","pink__modules_NPC_griesi","User",7.81273640197506e-53
"lightgreen","midnightblue__modules_NPC_griesi","User",9.48516505032615e-17
"turquoise","blue__modules_NPC_griesi","User",2.34996997851843e-15
"purple","black__modules_NPC_griesi","User",5.21995032509987e-15
"lightgreen","black__modules_NPC_griesi","User",1.35505973461823e-14
"greenyellow","brown__modules_NPC_griesi","User",2.31659422149391e-13
"green","magenta__modules_NPC_griesi","User",2.68964859938778e-13
"salmon","red__modules_NPC_griesi","User",1.28206028536112e-11
"pink","yellow__modules_NPC_griesi","User",9.49722121412488e-09
"magenta","magenta__modules_NPC_griesi","User",1.78267659652982e-08
"white","purple__modules_NPC_griesi","User",7.13530410005097e-07
"turquoise","greenyellow__modules_NPC_griesi","User",6.41491024121273e-06
"black","yellow__modules_NPC_griesi","User",1.12586889155868e-05
"orange","magenta__modules_NPC_griesi","User",1.26181674943761e-05
"green","turquoise__modules_NPC_griesi","User",0.000135970358078477
"brown","greenyellow__modules_NPC_griesi","User",0.000141016411147324
"lightgreen","pink__modules_NPC_griesi","User",0.000233647738838088
"magenta","turquoise__modules_NPC_griesi","User",0.000301030320355286
"grey60","cyan__modules_NPC_griesi","User",0.000374659240426153
"royalblue","black__modules_NPC_griesi","User",0.000898646263391782
"yellow","tan__modules_NPC_griesi","User",0.00286189547073947
"grey60","yellow__modules_NPC_griesi","User",0.00361754148232455
"royalblue","yellow__modules_NPC_griesi","User",0.00385771816049935
"yellow","salmon__modules_NPC_griesi","User",0.00437620251948855
"pink","cyan__modules_NPC_griesi","User",0.00590436989973512
"cyan","black__modules_NPC_griesi","User",0.00851913345202649
"darkred","brown__modules_NPC_griesi","User",0.012878284201769
"darkred","blue__modules_NPC_griesi","User",0.0131723999635898
"purple","green__modules_NPC_griesi","User",0.0248065409397571
"grey60","pink__modules_NPC_griesi","User",0.0252115987024709
"salmon","brown__modules_NPC_griesi","User",0.0336586678673106
"white","cyan__modules_NPC_griesi","User",0.0454102255340638
"darkgrey","yellow__modules_NPC_griesi","User",0.0494102628847866
