"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"4283",340.785785494866,11.9064110011532,1.89030844888267,6.29866041607699,3.00228914000711e-10,1.22222686908299e-08,"CXCL9"
"3433",792.193670369482,11.180015815612,1.70391480686943,6.5613701873704,5.33155778201026e-11,2.28556881079309e-09,"IFIT2"
"2634",336.677123423293,11.1250798181486,1.12362019707667,9.9011034574608,4.1170706092295e-23,3.19138770147397e-21,"GBP2"
"4938",262.282817727402,10.6739913344947,1.42188836977358,7.50691232968904,6.05382402998341e-14,3.23175209852196e-12,"OAS1"
"121506",119.999362026995,10.4178529646893,1.40974203806597,7.38990019690524,1.4693906346658e-13,7.67051174937789e-12,"ERP27"
"64108",112.416247788785,10.4088043659482,1.68428660788595,6.17994842280012,6.41225472249582e-10,2.50240083147331e-08,"RTP4"
"5696",2333.62543659441,10.3634379125754,0.571753157229571,18.1257204818797,1.99709986170144e-73,4.23784590653046e-71,"PSMB8"
"5920",1373.48563546799,10.1741044194303,0.634032374665863,16.0466639022843,6.032040296531e-58,1.06666579243657e-55,"PLAAT4"
"115362",822.565366683576,9.94942070197888,0.534705837692505,18.6072789945871,2.80505875687238e-77,6.4349564130629e-75,"GBP5"
"5698",4198.72070868638,9.8637427624889,0.277786881011433,35.5083102793574,3.6586219100252e-276,3.26888239708357e-273,"PSMB9"
"100885775",73.0543085895424,9.77264718388084,1.23683041479297,7.90136389515989,2.75867972951256e-15,1.59290296218385e-13,"BANCR"
"2633",20340.3453758004,9.67689218735482,0.145426914229001,66.541274279648,0,0,"GBP1"
"834",75.3727085920806,9.60470089551476,1.80381143459511,5.32467014639514,1.01136396368117e-07,3.03337714619286e-06,"CASP1"
"400696",318.035433689761,9.15295949756084,0.678816691245844,13.4836983468427,1.95077921926889e-41,2.78289311145451e-39,"LGALS17A"
"3383",1675.48228611481,9.12140157439269,0.48125943625382,18.9531900826605,4.15607867080735e-80,1.02251581906704e-77,"ICAM1"
"10561",542.623381143667,9.12034538462689,0.912730261551378,9.9923775608414,1.64585909474926e-23,1.31174197147716e-21,"IFI44"
"285180",125.374724546277,9.11744649839935,1.03483825363676,8.81050392789175,1.24584523549412e-18,8.26151121787041e-17,"RUFY4"
"94240",190.333830921021,9.0284385774438,1.02547170161303,8.80418110343016,1.3181140561146e-18,8.70673315821068e-17,"EPSTI1"
"116071",528.614233569001,9.0072695027795,0.765454223140855,11.7672216449736,5.75900790643683e-32,6.38986393592626e-30,"BATF2"
"5630",1189.32107542067,8.9599409234472,1.41989830747779,6.31026945821425,2.78550061053674e-10,1.13669851837672e-08,"PRPH"
"3620",509.582000792905,8.91531986453327,0.881698690310721,10.1115267182618,4.91128830027025e-24,3.98918804714774e-22,"IDO1"
"6890",7520.56647966354,8.73621631358953,0.154253798883123,56.6353397896469,0,0,"TAP1"
"219285",1111.17217372912,8.66016151973346,0.683873025268879,12.6634056319571,9.43171602076014e-37,1.14366293691732e-34,"SAMD9L"
"54809",636.995907137682,8.60462493643718,0.593667319089673,14.4940182148336,1.32178775035014e-47,2.07765452314295e-45,"SAMD9"
"3437",1688.65768995166,8.59577375657765,0.454212956868666,18.9245454727596,7.1604486620817e-80,1.73651109267856e-77,"IFIT3"
"389903",224.876815561793,8.57234260787584,1.45023961520309,5.91098361816256,3.400708565765e-09,1.22830699175376e-07,"CSAG3"
"125111",109.057763751894,8.48276306428638,1.4181877008641,5.98141068288623,2.21213347758286e-09,8.21732558324872e-08,"GJD3"
"6373",138.235077996039,8.41688967846486,1.5205345476608,5.53548072381087,3.10375870178065e-08,1.00169976656708e-06,"CXCL11"
"10537",210.90240600143,8.34604757130996,0.95434080861703,8.74535333284607,2.22318839105489e-18,1.45717552612154e-16,"UBD"
"3627",354.312558429761,8.3007138990712,0.912528999584333,9.09638367969924,9.33896262162518e-20,6.44464347417516e-18,"CXCL10"
"115361",2545.47833753498,8.09579480622884,0.879060058447128,9.20960374485695,3.2733104455729e-20,2.29618669934073e-18,"GBP4"
"10437",1012.53104847352,8.05354616004198,0.936879236144679,8.596141156018,8.2441387505411e-18,5.24166664528785e-16,"IFI30"
"83666",2966.93941101095,7.99164792068564,0.188172522790744,42.4697920937835,0,0,"PARP9"
"80830",7960.64179382078,7.8975334422023,0.128278686737231,61.5654372762622,0,0,"APOL6"
"51513",626.41525183179,7.85837055467386,0.602546127054271,13.0419401964989,7.06363461547877e-39,9.29552412654012e-37,"ETV7"
"400759",120.041621568413,7.8298170436417,0.787633662004381,9.94093754667147,2.76215087467878e-23,2.17084598372903e-21,"GBP1P1"
"114769",19.6854282724336,7.80117642433204,1.37825102377252,5.66019998518037,1.51196695998458e-08,5.07255950843839e-07,"CARD16"
"10346",3980.32975385209,7.79140283666793,0.328570828556013,23.7130084582043,2.64740729282085e-124,9.36299712560976e-122,"TRIM22"
"3428",1596.47203801156,7.77588988361379,0.236785019491276,32.8394503179298,1.6112114046076e-236,1.09407699218475e-233,"IFI16"
"80833",146.750726901302,7.71551825624239,1.05770915791613,7.29455559545623,2.99646477259535e-13,1.52756714653389e-11,"APOL3"
"158511",30.1202791331116,7.71051039372486,1.31063963582057,5.8830132883151,4.02863567140409e-09,1.44282951809612e-07,"CSAG1"
"3122",634.945480986927,7.70421549286495,0.579051093134965,13.3048975888372,2.16789967602966e-40,2.94418119202236e-38,"HLA-DRA"
"684",2935.6769852699,7.67907490074607,0.294951904698772,26.0350069906771,1.98909753078982e-149,8.23583406894828e-147,"BST2"
"29126",724.370733832523,7.67222972488561,0.719043779226718,10.6700453387366,1.40557783884056e-26,1.30388466623811e-24,"CD274"
"3394",1637.47825508243,7.63565868834082,0.232155711676495,32.8902469519294,3.03012827386824e-237,2.1433107323828e-234,"IRF8"
"84166",2208.26094234842,7.58252672981477,0.407625200242497,18.6017123703439,3.11206417149427e-77,7.04405351670489e-75,"NLRC5"
"8519",4476.64741674081,7.55012742486934,0.142653776310082,52.9262359550712,0,0,"IFITM1"
"64135",866.555155933273,7.48374044162161,0.48331762901865,15.4841040183387,4.44208043553329e-54,7.46621361124882e-52,"IFIH1"
"4939",212.182717723779,7.41896908235948,1.02847331700648,7.21357468364225,5.450180940029e-13,2.7212432834686e-11,"OAS2"
"4940",748.314008621817,7.24756505969018,0.304130040270878,23.8304807155355,1.61400880926583e-125,5.95639424915145e-123,"OAS3"
"3659",4560.20339368878,7.24236335967879,0.134721273118999,53.758127369251,0,0,"IRF1"
"100130275",23.4112420853815,7.09586141981214,1.3345324261831,5.3171142795736,1.05425859266515e-07,3.14535920370537e-06,"TFAP2A-AS1"
"972",54.9691728174437,6.98763313459119,2.03124075274957,3.44008120412731,0.000581539675135559,0.00855478121759206,"CD74"
"2635",400.884033204808,6.95618263031336,0.992430457140816,7.00923936812063,2.39617204357888e-12,1.12368554176229e-10,"GBP3"
"100507463",272.575648765079,6.92984027434776,0.420318356756227,16.4871225892398,4.54064221059759e-61,8.66089237832637e-59,"PSMB8-AS1"
"3430",685.805950694431,6.92887557706401,0.318017157715355,21.7877413496846,3.03242847422839e-105,9.53305662564837e-103,"IFI35"
"54625",12370.51338969,6.91765768225474,0.335696278106507,20.6068941880254,2.38022841028708e-94,7.21549240947027e-92,"PARP14"
"80333",1926.04106009094,6.91003989345766,0.373510779471524,18.5002422238913,2.05548122761158e-76,4.59129596314924e-74,"KCNIP4"
"255180",12.4218105819289,6.90801419316098,1.48178856221994,4.6619432551239,3.13237566697906e-06,7.79695151358307e-05,"GOLGA2P11"
"8337",25.4652791983644,6.85232310391644,2.25077535631983,3.04442781669711,0.00233123366260872,0.026940110725967,"H2AC18"
"64078",18.2785989194878,6.78362794629014,1.38589207347285,4.89477360909593,9.84189604935929e-07,2.62297767934919e-05,"SLC28A3"
"105371956",21.0586354136807,6.77755707802747,1.18313228381212,5.72848629925792,1.01330735118252e-08,3.46812612775696e-07,"LOC105371956"
"3134",1354.15802700608,6.75607653902766,0.526036704243529,12.8433557668629,9.37220839126747e-38,1.19626022293351e-35,"HLA-F"
"4688",9.61535173852595,6.7328476062476,1.56554379259072,4.30064469490555,1.70301928624764e-05,0.00036549248297522,"NCF2"
"10866",581.174177207138,6.69957843303118,0.282070533271973,23.7514296701507,1.06199255589052e-124,3.83582672953138e-122,"HCP5"
"3601",29.7286527873797,6.65452030823117,1.16687816529175,5.70284071308111,1.17827079289502e-08,4.02461267206958e-07,"IL15RA"
"10791",148.038257825247,6.62802003690129,0.535087895088213,12.3867874749972,3.08141823124731e-35,3.58288738997633e-33,"VAMP5"
"8542",564.877794947219,6.59769382435904,0.58369245055697,11.303373579808,1.2627207564535e-29,1.3481728026135e-27,"APOL1"
"105375037",9.01761928645791,6.54579778798807,1.59336193797215,4.10816753682393,3.98810771992115e-05,0.000796495490039781,"ETV7-AS1"
"64761",828.079238207292,6.53029339685108,0.221463122750939,29.4870464921384,4.22030800711965e-191,2.23887339777697e-188,"PARP12"
"246213",340.191929587216,6.4973614806926,0.891473134887203,7.28834243727905,3.13791582130412e-13,1.59488799348679e-11,"SLC17A8"
"9111",82.8657757411082,6.46679838267144,0.638367248774191,10.1302164155338,4.0575040872197e-24,3.31154756656931e-22,"NMI"
"151636",1559.4673370109,6.41227514492781,0.165637141803151,38.7127855209454,0,0,"DTX3L"
"340120",308.69941151192,6.41142005778384,0.33827165125465,18.9534654589111,4.13438363449583e-80,1.02251581906704e-77,"ANKRD34B"
"54739",821.037044377062,6.34227141730188,0.216424543372504,29.3047697755136,9.01702128778913e-189,4.50214568769142e-186,"XAF1"
"3431",521.553766862169,6.27226732068738,0.630019814069034,9.95566675939512,2.38220601623781e-23,1.88094555030944e-21,"SP110"
"3429",3227.86020513226,6.25061239033162,0.124983564245999,50.0114749330467,0,0,"IFI27"
"3106",17125.2001374575,6.24089193273839,0.0922037894729785,67.685850748763,0,0,"HLA-B"
"3600",221.656630199452,6.23189903971588,0.400239532234171,15.5704235534379,1.15638943216825e-54,1.98291585863517e-52,"IL15"
"6672",697.819978920085,6.20280853587058,0.441383816224434,14.0530946261895,7.37399711347339e-45,1.10779623892322e-42,"SP100"
"629",68.9773596773838,6.10785958841522,1.36625840279277,4.4705010237669,7.80365703420921e-06,0.000179505259908856,"CFB"
"10964",259.32630714842,5.95732813009965,0.718314349855847,8.2934833910741,1.09979300807636e-16,6.64415875626486e-15,"IFI44L"
"146850",9.83897084936777,5.95506578921963,1.49244052203433,3.99015284113457,6.60307312911496e-05,0.00127090441541786,"PIK3R6"
