"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"6373",588.633988293908,2.51378192704079,0.236454767301348,10.6311323545324,2.13504247445892e-26,1.00923457767673e-22,"CXCL11"
"7980",40.0341412183728,2.49202579712965,0.676300847979999,3.68478881044277,0.000228892350396334,0.0225411279234057,"TFPI2"
"6503",39.3458546938045,2.42486994073385,0.712092156324989,3.40527545373941,0.000660973463181265,0.0495608397356199,"SLA"
"93349",48.5792209527932,2.30378284754847,0.562121914313194,4.09836867926285,4.16072185845171e-05,0.0056193520642575,"SP140L"
"1903",82.4951306576396,2.06302538672068,0.52381971989759,3.93842634852313,8.2017761913033e-05,0.00948043996557282,"S1PR3"
"107985661",45.7108793322915,-1.93718068045413,0.515697487322058,-3.75642838694761,0.000172355561872507,0.0181049942438076,"LOC107985661"
"100506334",70.8880789805433,-1.92870451874959,0.408734014335948,-4.71872770824583,2.37324222555593e-06,0.000527023742183275,"LINC00649"
"10398",72.052497701611,1.91259559252345,0.535457963975694,3.57188747053592,0.000354417701738292,0.0315920796534049,"MYL9"
"51299",99.9098656627239,1.84504227537403,0.435300602006081,4.23854749309134,2.24970594476557e-05,0.00346474209163649,"NRN1"
"3134",586.865448997105,1.77601319066134,0.430969710428108,4.12096986792209,3.77280772875254e-05,0.00519438702926599,"HLA-F"
"6672",188.108595062495,1.65589716792946,0.245452598459826,6.74630123420951,1.51661586906715e-11,1.13195419153901e-08,"SP100"
"101060226",116.082531904095,1.63331356534599,0.352679397276747,4.63115673316276,3.636284701119e-06,0.000736659333522407,"NBPF19"
"219285",184.810219482012,1.63139098072067,0.299581904297705,5.44555915199571,5.16428973146411e-08,1.97931872113223e-05,"SAMD9L"
"51296",119.218713990877,1.60477302927993,0.338133902305905,4.745969032789,2.07510460507004e-06,0.000486325035773326,"SLC15A3"
"91607",76.0657327051957,1.60204096887525,0.469047175596777,3.41552204602222,0.000636598760826327,0.0482759734079045,"SLFN11"
"64108",70.9544253258502,1.5925523310607,0.39154420318794,4.06736281138679,4.75481838592325e-05,0.00636113957837524,"RTP4"
"7318",207.271244843667,1.57762020127279,0.256236187567965,6.15689850932683,7.418335444307e-10,3.75712196198992e-07,"UBA7"
"10590",694.825429398385,-1.57363111885306,0.161844363301577,-9.72311353173782,2.40318491227326e-22,6.81591304818942e-19,"SCGN"
"10371",306.234010105295,1.53435830370618,0.212034559964416,7.23635950650534,4.60888626144741e-13,3.8446244749168e-10,"SEMA3A"
"9446",88.4297897358638,1.53015969765678,0.358728845621079,4.26550503628322,1.99450514582279e-05,0.00317798623291157,"GSTO1"
"60489",63.0145684672334,1.5270891050077,0.424594816821965,3.59657971436806,0.000322428806614681,0.0293100186320691,"APOBEC3G"
"2633",29059.9673345496,1.51301707022638,0.20516182855508,7.37474939116257,1.64654483057347e-13,1.45935326514765e-10,"GBP1"
"105379508",173.684607077189,1.47451021371545,0.262559172609416,5.61591582979633,1.95523828811646e-08,7.922066903937e-06,"LOC105379508"
"6750",216.2290984554,1.46443214740654,0.305086341994123,4.80005803548804,1.58619657613568e-06,0.000387825062865174,"SST"
"5920",438.302990607289,1.449088461007,0.167748978899846,8.63843387012312,5.69888299073813e-18,1.01019824614572e-14,"PLAAT4"
"10964",156.615977771142,1.41690478371691,0.36178402831335,3.91643818640244,8.98668440770605e-05,0.0101788508179238,"IFI44L"
"200316",121.989032208612,1.41025586845564,0.303443980554338,4.64749989727708,3.35982261146363e-06,0.000690516586277764,"APOBEC3F"
"7057",199.406926210693,1.40761094851847,0.361647637898908,3.89221662471343,9.93324902628371e-05,0.0110049534720101,"THBS1"
"6281",179.798179872861,1.40355186975506,0.315258379470752,4.45206840215098,8.50470629421096e-06,0.00161049241592762,"S100A10"
"10512",2557.71421941429,1.39786014774062,0.35394736776921,3.94934466259993,7.83654464276502e-05,0.00926083663158756,"SEMA3C"
"3139",119.036580876968,1.37850645509508,0.325770193901687,4.23153032690001,2.32106691139882e-05,0.00346474209163649,"HLA-L"
"3491",196.302047696968,1.3494638878044,0.338566930183676,3.9858112754022,6.72499499792414e-05,0.00833220931977196,"CCN1"
"3428",105.19068440044,1.30873673693991,0.332351581992094,3.93780805584082,8.22293290857807e-05,0.00948043996557282,"IFI16"
"10346",1260.18735189581,1.30620645823181,0.294482171501868,4.43560454464907,9.18142599410994e-06,0.00171318160555886,"TRIM22"
"3431",83.5653721636992,1.27951086917228,0.358825754703769,3.56582784930972,0.000362709415538264,0.0317505075416551,"SP110"
"7025",341.6836805156,1.25977252954241,0.211481709822052,5.95688643997828,2.57088751165959e-09,1.17605663880144e-06,"NR2F1"
"3105",5028.11800365202,1.25112621226233,0.263709595721215,4.74433328389377,2.09194183641301e-06,0.000486325035773326,"HLA-A"
"3107",6818.32020812699,1.24819218800317,0.100239599453902,12.4520867481836,1.36235928481272e-35,1.93196170179292e-31,"HLA-C"
"10410",149.703290851034,1.23891859213524,0.31413530152234,3.9439011984049,8.01666972107516e-05,0.00939540440616255,"IFITM3"
"781",215.705507010859,1.22218759305939,0.253854600200988,4.81451820093756,1.47555455456071e-06,0.000367102441021498,"CACNA2D1"
"5648",185.003640392442,1.2161056354993,0.265011731706403,4.58887471761656,4.45641772112754e-06,0.000890090981736755,"MASP1"
"10561",361.659657161239,1.21445656983288,0.187683659244225,6.47076348960434,9.75089571359041e-11,5.76156050476773e-08,"IFI44"
"55337",467.974230339075,1.19070423128383,0.160806197914602,7.40459165582763,1.31554640900596e-13,1.24371757507423e-10,"SHFL"
"118429",277.535836314894,1.18663434949026,0.232721255036074,5.0989513154109,3.41540373306477e-07,9.8493969814871e-05,"ANTXR2"
"3136",453.056358900184,1.17068885992809,0.195248657261196,5.99588686728837,2.02377882212243e-09,9.76398929972958e-07,"HLA-H"
"64167",1028.54599151864,1.15748394904995,0.121948668306117,9.49156694474448,2.27587068638735e-21,5.37902036727649e-18,"ERAP2"
"56891",182.960025800695,1.13860557984514,0.319260896103805,3.56637970305932,0.000361946841907647,0.0317505075416551,"LGALS14"
"54739",149.411890658689,1.1340685694103,0.317142921661944,3.57589115805382,0.000349036858004274,0.0313271625529025,"XAF1"
"26468",832.756272627425,-1.12890132678864,0.168671470882497,-6.692900233111,2.18790312391379e-11,1.47745972382007e-08,"LHX6"
"1490",290.400170447007,1.12620775432629,0.256694182799744,4.38735207024493,1.14738980018205e-05,0.00205963731093439,"CCN2"
"79132",103.42287292637,1.12452566810187,0.322138588570863,3.49081329588834,0.00048155264441535,0.0390222745740233,"DHX58"
"3106",10062.4272767932,1.11236505286644,0.217139009019348,5.12282458085328,3.00992347363433e-07,9.23218830128205e-05,"HLA-B"
"84858",713.871989740067,1.10929390969636,0.141567048609099,7.83581999197703,4.65792786922896e-15,6.00491591941235e-12,"ZNF503"
"10082",626.661398098994,1.10374781584737,0.173997036863482,6.34348627852423,2.24622987194392e-10,1.22514560823218e-07,"GPC6"
"3488",350.381357941659,1.09475971870744,0.211840475120983,5.16784961930538,2.36802717485514e-07,7.80953334107459e-05,"IGFBP5"
"85363",455.313942636993,1.06678046403163,0.169669140924039,6.28741595685468,3.22793654359115e-10,1.69538400461726e-07,"TRIM5"
"1280",226.153308991716,1.05430353978282,0.24901063350507,4.23396995117219,2.29601636904237e-05,0.00346474209163649,"COL2A1"
"8519",203.97694708365,1.05085488904975,0.279078852723197,3.76544076627703,0.000166255535591703,0.0175945503748205,"IFITM1"
"8542",388.211817351605,1.04933171632752,0.178125636604582,5.89096402028256,3.83949152206015e-09,1.70149466482297e-06,"APOL1"
"285954",136.006877046921,1.03600582154334,0.301632593491542,3.43466138573115,0.000593294676085665,0.045478442170653,"INHBA-AS1"
"116113",151.415192920161,1.02380648651802,0.289623943057391,3.534951135981,0.000407850571407234,0.0343877986816917,"FOXP4"
"100131213",169.038890192679,1.0182454158455,0.282994681839766,3.59810795462947,0.000320540575119719,0.0293100186320691,"ZNF503-AS2"
"285966",771.98631121472,1.00532338990701,0.130012774405074,7.73249701429163,1.05457294072751e-14,1.24624157270474e-11,"TCAF2"
"3600",256.488854174198,0.962161170923859,0.222137141853917,4.33138358985731,1.48175281084918e-05,0.00247208666007673,"IL15"
"55601",535.210956090823,0.941468778477838,0.166184702293836,5.66519520438892,1.46857253564066e-08,6.1252432729177e-06,"DDX60"
"54625",6106.06462821104,0.893250612977792,0.0862735997544416,10.3536958643227,4.02636149281394e-25,1.42744580823986e-21,"PARP14"
"3437",2347.90395644894,0.857987953984102,0.0962042941754003,8.91839560113411,4.73091819713686e-19,9.58416442194254e-16,"IFIT3"
"2355",239.46607718909,0.85519449882413,0.240110057940935,3.56167711656002,0.000368493391509655,0.0320589250613399,"FOSL2"
"114908",265.995289384163,0.826456371537792,0.239179228727559,3.45538521858509,0.000549507105229032,0.042819092748197,"TMEM123"
"83666",864.864209144527,0.819302512382022,0.143613852081726,5.70489893910639,1.16412136884659e-08,5.00254700957984e-06,"PARP9"
"64135",281.186779451567,0.817127233915865,0.203654038538953,4.01233012503984,6.01223416578001e-05,0.00761245470579699,"IFIH1"
"116931",1400.13552933429,0.796560736703194,0.10328706778007,7.71210524050614,1.23759008570974e-14,1.3500203850346e-11,"MED12L"
"7132",351.652616367726,0.794952721822301,0.192195277739437,4.13617197660827,3.53147566889348e-05,0.00490978984907632,"TNFRSF1A"
"23348",543.861699900477,0.789936248850637,0.177444172493424,4.45174523203862,8.51751859492077e-06,0.00161049241592762,"DOCK9"
"57458",305.657322810141,0.774191406433825,0.197696907474153,3.91605218475682,9.00107726954835e-05,0.0101788508179238,"TMCC3"
"132204",281.523490760452,-0.761346179246549,0.197507357566709,-3.85477375945046,0.000115836699541259,0.0126360018168815,"SYNPR"
