"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"3106",17125.2001374575,6.24089193273839,0.0922037894729785,67.685850748763,0,0,"HLA-B"
"3123",58.0353214175504,4.16883741098255,0.610422547950457,6.82942893407158,8.52533158376581e-12,3.86967991887723e-10,"HLA-DRB1"
"3105",15238.7110332414,4.11430433753524,0.249877182605196,16.4653062542161,6.51321768803828e-61,1.2150371810125e-58,"HLA-A"
"84465",55.0928043500304,2.90889004541088,0.450103702094836,6.46271077503375,1.02843746753677e-10,4.35380410197113e-09,"MEGF11"
"721",256.249294753907,2.67297378936125,0.277603127501107,9.62875963762548,6.04547876144546e-22,4.5816092613526e-20,"C4B"
"4585",26.4747272568261,2.35373981462791,0.711239372161199,3.30934971650367,0.000935129530458126,0.0126592973756437,"MUC4"
"57194",668.161669154137,2.20996339085448,0.146984704411873,15.0353290139757,4.30902092192913e-51,6.90093765761028e-49,"ATP10A"
"129607",340.272430795417,2.01014193407943,0.183768642125687,10.9384381950464,7.54891037731981e-28,7.49416974066556e-26,"CMPK2"
"2903",41.798050992753,-1.85171480886644,0.538891864955573,-3.43615283377696,0.000590038018420091,0.00865729075254924,"GRIN2A"
"91752",86.4353107987427,1.81868642931544,0.427021210504953,4.25900724501447,2.05336815833141e-05,0.000431410617027648,"ZNF804A"
"2900",84.0861855026495,1.76026397683038,0.471957546610795,3.72970829573789,0.000191701575506883,0.00325432594580485,"GRIK4"
"6335",563.38696353406,1.74362917968996,0.169309275698557,10.2984858478419,7.15790642485716e-25,6.07563097341876e-23,"SCN9A"
"301",54.1225089143204,1.57689251498807,0.445957458974801,3.53597071481469,0.000406279728936809,0.00625295075107097,"ANXA1"
"9228",57.0457761779011,-1.4854177024773,0.425697966299873,-3.48936997606169,0.000484160533145635,0.00723513134742984,"DLGAP2"
"9229",776.833959539174,1.40519236951218,0.1314263120886,10.6918648722706,1.11114001155074e-26,1.0364127931915e-24,"DLGAP1"
"151126",424.851123003322,1.23460134699134,0.171683985881102,7.19112700381004,6.42586727736462e-13,3.18963517253046e-11,"ZNF385B"
"547",13721.9975291152,1.21018321184381,0.0844714510752729,14.326535136296,1.49390103992429e-46,2.28472649132926e-44,"KIF1A"
"7057",2002.35706924314,1.1490579946924,0.109680222561278,10.476437482158,1.1084068922885e-25,9.85147403324059e-24,"THBS1"
"4208",257.497103838165,1.01671453562205,0.226367165521998,4.49143997221295,7.07432404655165e-06,0.000164737620046997,"MEF2C"
"5787",96.9079466384925,-0.975880902060146,0.333977031056965,-2.92200005183498,0.00347791482624492,0.0371094167758226,"PTPRB"
