"","ENTREZID","SYMBOL","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5920","5920","PLAAT4","ENSG00000133321",10.5513439932699,1.56518350666329,12.0668193965788,1.97945252955892e-06,0.000170001015153667,4.56919050518929
"4283","4283","CXCL9","ENSG00000138755",10.4533926262853,-0.820443871479619,4.18912855331715,0.00301175203648123,0.0352246280916318,-1.34356368025086
"5696","5696","PSMB8","ENSG00000204264",10.2742961153103,2.20128626700991,24.4857611006846,7.77327625976029e-09,3.1910853701568e-06,7.96230773024112
"84166","84166","NLRC5","ENSG00000140853",10.1938728011324,3.43931804283782,14.8319983798288,4.02314930686672e-07,4.9448600402842e-05,6.90394329688536
"5698","5698","PSMB9","ENSG00000240065",10.0403001962725,3.22977936067775,20.9394695223008,2.68520177000257e-08,7.19798563720671e-06,8.56653056023456
"3433","3433","IFIT2","ENSG00000119922",10.0062852830771,0.561432396367427,11.7263292176899,2.46373212162549e-06,0.00020147635668719,3.88557106302165
"2634","2634","GBP2","ENSG00000162645",9.96520924698566,-0.520757899289585,16.5553988425637,1.70579145141353e-07,2.63243102047666e-05,4.60202896723643
"2633","2633","GBP1","ENSG00000117228",9.92948615235855,5.6169450451931,26.3134191517632,4.38709014345449e-09,2.04657755192152e-06,11.3395878694498
"4938","4938","OAS1","ENSG00000089127",9.76667751331458,-0.689526922886555,6.94264274340948,0.000116808583156596,0.00364933482172342,1.27734170581522
"3383","3383","ICAM1","ENSG00000090339",9.47458853650878,2.38880885334029,10.7167260224674,4.8836043648195e-06,0.000331478764579969,4.57182545490599
"94240","94240","EPSTI1","ENSG00000133106",9.28657455805904,-0.536568679118446,6.71602929251596,0.000147201537644857,0.00431636965956904,1.15917712577239
"10561","10561","IFI44","ENSG00000137965",9.24253620406038,0.798554627962272,6.23875572228426,0.000244208536371479,0.00622686263051054,0.962599231525925
"116071","116071","BATF2","ENSG00000168062",9.17398100661482,0.859308252026641,13.2802373336016,9.47486774676742e-07,9.44083181408485e-05,5.07184710910375
"115362","115362","GBP5","ENSG00000154451",9.09306995922077,0.957182609207444,7.95811533237935,4.42372200232506e-05,0.00173402495673932,2.45609085984534
"121506","121506","ERP27","ENSG00000139055",9.06290282357183,-1.51846501024653,8.61239206836162,2.48990434534214e-05,0.00113321012400206,2.29230595311156
"3620","3620","IDO1","ENSG00000131203",9.05974330473351,0.884406951456943,9.71106326682843,1.02416597254672e-05,0.000582327721675732,3.53985261128554
"219285","219285","SAMD9L","ENSG00000177409",9.01787396772765,1.99280717628805,24.2407432609501,8.4193393463718e-09,3.26228234093745e-06,8.41212034476393
