"","ENTREZID","SYMBOL","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"400759","400759","GBP1P1","ENSG00000225492",9.76488947922408,1.23542678443107,12.5270394605881,3.81994635355599e-08,1.24513642663519e-05,6.06112143693719
"29126","29126","CD274","ENSG00000120217",9.49863789864053,2.35721896411875,15.3983772751735,3.86462921582703e-09,2.11998477300404e-06,7.99001971539291
"3394","3394","IRF8","ENSG00000140968",9.16535614211455,0.968128168582277,8.95588890219575,1.37765004973908e-06,0.000242068181786576,3.8437974515223
"2633","2633","GBP1","ENSG00000117228",8.55927030316079,5.53874406550426,11.1019722242589,1.42140146960244e-07,3.76102828856807e-05,7.9992184339267
"84166","84166","NLRC5","ENSG00000140853",8.24268443087592,3.48308799383371,12.7210100560025,3.22678496710251e-08,1.08707494635886e-05,8.9227645412445
"3133","3133","HLA-E","ENSG00000204592",8.1078111981561,5.27829874674288,17.0828491902588,1.20032096273685e-09,1.00496598744951e-06,12.3634038705806
"23780","23780","APOL2","ENSG00000128335",8.04532715128125,3.06362274820807,11.1682093451464,1.33305265063835e-07,3.65630331286673e-05,7.44584505167873
"10384","10384","BTN3A3","ENSG00000111801",8.02996456879844,3.66037787692062,15.1031963560693,4.80072535039508e-09,2.51100264780781e-06,10.0952859941894
"54809","54809","SAMD9","ENSG00000205413",7.94081840176329,1.97709832187624,13.1006374675747,2.33413730837081e-08,8.74951370042798e-06,7.80526502946588
"567","567","B2M","ENSG00000166710",7.93814956968042,7.08982594265873,17.8788457244825,7.16603432556826e-10,7.53033348988702e-07,13.1864300352865
"3437","3437","IFIT3","ENSG00000119917",7.91860442902824,2.48423030968188,10.3955282731773,2.87686653145842e-07,6.73995887073244e-05,6.57583342042135
"10561","10561","IFI44","ENSG00000137965",7.89569962387227,-0.0426436733266922,4.42206269078616,0.000879208901912044,0.0409405536499043,-0.596263812477604
"4938","4938","OAS1","ENSG00000089127",7.847300613855,-0.752026716785349,6.94866574344275,1.73842350509778e-05,0.00194521806234598,2.05581256794907
"51513","51513","ETV7","ENSG00000010030",7.81391017271617,1.03384796079743,10.8895995146557,1.74994044766869e-07,4.47248984187688e-05,5.80033357269009
"121506","121506","ERP27","ENSG00000139055",7.76469247619611,-1.56572794526072,6.46721191828082,3.43183206979634e-05,0.00329851859323887,1.54156326245838
"3659","3659","IRF1","ENSG00000125347",7.5770576846645,4.83999273041513,40.9885564181969,4.98823231229674e-14,5.60951664679329e-10,18.8764068994907
"80833","80833","APOL3","ENSG00000128284",7.49657262476956,-1.49817340073812,7.32634774426927,1.04105461523225e-05,0.00127947318858954,2.26712532708806
"5696","5696","PSMB8","ENSG00000204264",7.49577663076697,2.08863894896186,6.91199781361442,1.82890395127155e-05,0.00201636660627688,3.01311520989643
"2537","2537","IFI6","ENSG00000126709",7.44132362782913,3.33006515829425,9.39335094389174,8.39114438697806e-07,0.000152197764844777,6.18241973610992
"3383","3383","ICAM1","ENSG00000090339",7.4281608476109,2.72876059333406,5.05132516006144,0.000304651807661374,0.0187723939893479,0.610148194456665
