"","ENTREZID","SYMBOL","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7318","7318","UBA7","ENSG00000182179",1.63285141299397,1.56527017933726,9.14464613072833,1.10982879410075e-06,0.00499223188162399,5.75349674252971
"53630","53630","BCO1","ENSG00000135697",1.63129129476546,-2.37455539142507,6.83972528240753,2.02228291483507e-05,0.0284269781484722,2.52061921181938
"64108","64108","RTP4","ENSG00000136514",1.56896517263843,-2.05966786816343,6.84048246890619,2.02014747082078e-05,0.0284269781484722,2.8139455321901
"2633","2633","GBP1","ENSG00000117228",1.5366594932429,5.53874406550426,9.98821452699495,4.39874337719446e-07,0.00329773790988269,6.61215805714977
"5920","5920","PLAAT4","ENSG00000133321",1.44995912778796,0.248419246952759,7.57079540376613,7.54057207627628e-06,0.0144606738737521,4.14054762450229
"60489","60489","APOBEC3G","ENSG00000239713",1.445820712122,0.0336990410747868,7.78890212145055,5.68892388059123e-06,0.0140724555262528,3.76036271730332
"3107","3107","HLA-C","ENSG00000204525",1.27014798741375,5.61073529870232,6.93237697978663,1.77801317525672e-05,0.0284269781484722,2.87141929607753
"55337","55337","SHFL","ENSG00000130813",1.18742269660807,2.44335499263755,8.22128658632279,3.30684038244015e-06,0.0106248781487802,4.94155611809224
"3106","3106","HLA-B","ENSG00000234745",1.11760137770165,6.09859000008501,9.55180613951445,7.04301909267255e-07,0.00396011356033246,6.20549972432667
"57674","57674","RNF213","ENSG00000173821",0.937340433123791,5.43403363502009,7.55323798748568,7.71544557756549e-06,0.0144606738737521,3.78900807492002
"54625","54625","PARP14","ENSG00000173193",0.876960140537344,4.33316390343542,10.5258012234274,2.5187490203341e-07,0.00283245921081671,7.31524808683672
"3437","3437","IFIT3","ENSG00000119917",0.8512898038909,2.48423030968188,7.71475547834435,6.25692744931432e-06,0.0140724555262528,4.07446736669666
"6890","6890","TAP1","ENSG00000168394",0.712330452394786,4.14802036332964,7.8666321176488,5.15225615979828e-06,0.0140724555262528,4.19540866128565
"80830","80830","APOL6","ENSG00000221963",0.703655546799907,5.78656949054836,12.8664026563925,2.84757497744851e-08,0.000640448088177943,9.49557512394671
"54809","54809","SAMD9","ENSG00000205413",0.701946037902846,1.97709832187624,8.53476418834432,2.26025120636428e-06,0.0084725516470565,5.17284818379638
"5698","5698","PSMB9","ENSG00000240065",0.690618216072933,2.43034864457264,7.42530692855457,9.12835947426653e-06,0.0157927640719791,3.79257651379211
"100294362","100294362","RNF213-AS1","ENSG00000263069",-0.646067264128282,4.33872042348381,-6.65251773485329,2.63195737739378e-05,0.0328863074305353,2.86503671460967
"10384","10384","BTN3A3","ENSG00000111801",0.551252620578943,3.66037787692062,6.44862989879286,3.52526981771791e-05,0.0417299176159439,2.19931581374924
"6891","6891","TAP2","ENSG00000204267",0.415336007986223,6.29982361072423,6.72527897263606,2.37446143095387e-05,0.0314141247315197,2.44377671703779
"6335","6335","SCN9A","ENSG00000169432",-0.308613567791343,6.6499289645389,-6.34666179713434,4.0885550636373e-05,0.0459778459681332,2.03538718862841
