"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"2262","isoComp_00065826","geneComp_00019217","ENST00000491442.5","U","T",-0.624,0.000343414966970066,0.0306273918059575,0.685333333333333,0.0613333333333333
"8211","isoComp_00013026","geneComp_00007682","ENST00000481960.1","U","T",-0.602666666666667,0.000624658997870199,0.0472419198683655,0.872666666666667,0.27
"30950","isoComp_00138962","geneComp_00033583","ENST00000453227.5","U","T",-0.590333333333333,9.63041021408706e-05,0.0116255031259863,0.649666666666667,0.0593333333333333
"64501","isoComp_00113873","geneComp_00028393","ENST00000583447.5","U","T",-0.560333333333333,3.52864885869355e-07,0.000118609812543596,0.981666666666667,0.421333333333333
"64503","isoComp_00113874","geneComp_00028393","ENST00000584586.1","U","T",0.524,1.4653532488959e-07,5.7346138579957e-05,0,0.524
"36514","isoComp_00058372","geneComp_00017839","ENST00000621208.4","U","T",0.471333333333333,3.59521657843228e-08,1.70841366751307e-05,0.0433333333333333,0.514666666666667
"75396","isoComp_00077583","geneComp_00021583","ENST00000452395.1","U","T",0.452,5.99282017288413e-07,0.000183144148986044,0.119666666666667,0.571666666666667
"76109","isoComp_00133930","geneComp_00032754","ENST00000419593.5","U","T",-0.440333333333333,7.95209162384277e-09,4.60888115767799e-06,0.819666666666667,0.379333333333333
"11763","isoComp_00058558","geneComp_00017871","ENST00000429929.1","U","T",0.432666666666667,6.40505603790541e-06,0.00128113588020469,0.207,0.639666666666667
"11762","isoComp_00058559","geneComp_00017871","ENST00000436557.5","U","T",-0.398666666666667,5.56319677823577e-06,0.001154897173599,0.659666666666667,0.261
"34980","isoComp_00150910","geneComp_00035637","ENST00000377838.8","U","T",-0.397,4.70492725799837e-05,0.006589142419515,0.822333333333333,0.425333333333333
"30784","isoComp_00049428","geneComp_00016281","ENST00000359388.8","U","T",-0.396333333333333,1.39543604311785e-07,5.56198306925412e-05,0.396333333333333,0
"10504","isoComp_00100052","geneComp_00026255","ENST00000510859.5","U","T",-0.365666666666667,8.95490163977518e-07,0.000255612692362027,0.366333333333333,0.000666666666666667
"68397","isoComp_00150268","geneComp_00035551","ENST00000586438.5","U","T",0.357666666666667,0.000629478112551934,0.0475189501163171,0.277666666666667,0.635333333333333
"44103","isoComp_00048112","geneComp_00016057","ENST00000514950.1","U","T",-0.353333333333333,0.000577347959548458,0.0448212844968935,0.441,0.0876666666666667
"13479","isoComp_00080014","geneComp_00022541","ENST00000455811.2","U","T",0.352,1.50637074907032e-06,0.000378702527643954,0.0376666666666667,0.389666666666667
"4625","isoComp_00064254","geneComp_00018966","ENST00000612061.1","U","T",0.346666666666667,0.000616670826679739,0.0467347558616446,0.520333333333333,0.867
"37317","isoComp_00075096","geneComp_00020975","ENST00000394319.8","U","T",-0.340333333333333,1.2151520129283e-07,4.94530775637673e-05,0.481,0.140666666666667
"36513","isoComp_00058368","geneComp_00017839","ENST00000304195.8","U","T",-0.337,0.000592786980985262,0.0456718201807277,0.589333333333333,0.252333333333333
"4626","isoComp_00064253","geneComp_00018966","ENST00000579512.2","U","T",-0.337,0.000249731806504356,0.0238720376152443,0.462,0.125
"11898","isoComp_00085673","geneComp_00023390","ENST00000486123.1","U","T",-0.314,0.000195671517859637,0.0198589680743272,0.441666666666667,0.127666666666667
"76475","isoComp_00095295","geneComp_00025294","ENST00000356091.11","U","T",-0.312333333333333,6.52855906279038e-07,0.000198777697568101,0.475666666666667,0.163333333333333
"34090","isoComp_00099255","geneComp_00026137","ENST00000522811.1","U","T",-0.307666666666667,2.04519896663625e-07,7.57350074996543e-05,0.333666666666667,0.026
"33909","isoComp_00123050","geneComp_00030901","ENST00000345714.8","U","T",-0.299666666666667,0.000320317964135959,0.0288546334341715,0.472,0.172333333333333
"25531","isoComp_00064169","geneComp_00018917","ENST00000289316.2","U","T",0.298333333333333,1.05983710187983e-05,0.00194046967642177,0.502333333333333,0.800666666666667
"25530","isoComp_00064170","geneComp_00018917","ENST00000377777.5","U","T",-0.298333333333333,7.88069170876562e-05,0.00993644024530988,0.497666666666667,0.199333333333333
"65216","isoComp_00065506","geneComp_00019157","ENST00000592695.1","U","T",-0.296666666666667,1.95101285648725e-05,0.00316348845968646,0.439333333333333,0.142666666666667
"47684","isoComp_00027073","geneComp_00012599","ENST00000549124.1","U","T",-0.293666666666667,4.13529955410506e-05,0.00590199141916439,0.405,0.111333333333333
"20069","isoComp_00034291","geneComp_00013900","ENST00000509176.5","U","T",0.293333333333333,0.000250974213883096,0.0239351370938533,0.255666666666667,0.549
"76111","isoComp_00133931","geneComp_00032754","ENST00000452133.1","U","T",0.291333333333333,0.000112344283042106,0.0131937126004649,0.164666666666667,0.456
"10577","isoComp_00137068","geneComp_00033271","ENST00000669120.1","U","T",-0.290333333333333,0.000305040130611049,0.0278321188205029,0.628333333333333,0.338
"13379","isoComp_00078322","geneComp_00021856","ENST00000416103.2","U","T",-0.288666666666667,3.26668831970344e-09,2.0657531798937e-06,0.338,0.0493333333333333
"38992","isoComp_00152930","geneComp_00035959","ENST00000436087.6","U","T",0.286666666666667,1.21648303609454e-05,0.00215897789765642,0.272,0.558666666666667
"6214","isoComp_00049980","geneComp_00016369","ENST00000318130.13","U","T",0.281333333333333,2.91318299898824e-09,1.8709917811002e-06,0.238333333333333,0.519666666666667
"30695","isoComp_00035614","geneComp_00014117","ENST00000435695.1","U","T",-0.281333333333333,0.000149691407157801,0.0162775544968631,0.715,0.433666666666667
"79732","isoComp_00062453","geneComp_00018566","ENST00000447366.5","U","T",0.280333333333333,5.56623732288837e-05,0.00756345847669433,0.311,0.591333333333333
"35668","isoComp_00110497","geneComp_00027892","ENST00000447950.1","U","T",-0.273333333333333,6.02547352676456e-05,0.00802823545685998,0.354333333333333,0.081
"19850","isoComp_00036775","geneComp_00014305","ENST00000621014.1","U","T",0.263333333333333,1.95219548883049e-06,0.000473410285385773,0,0.263333333333333
"58820","isoComp_00151898","geneComp_00035797","ENST00000396878.8","U","T",-0.262666666666667,0.000383691043837719,0.033098083244293,0.429666666666667,0.167
"68129","isoComp_00059707","geneComp_00018087","ENST00000399218.8","U","T",0.256333333333333,0.000107597425883923,0.0127654008789731,0.478666666666667,0.735
"65214","isoComp_00065505","geneComp_00019157","ENST00000591576.5","U","T",0.253,0.000231263129064203,0.022606039612497,0.197,0.45
"75506","isoComp_00067755","geneComp_00019667","ENST00000376112.4","U","T",-0.251,0.00012007782918295,0.0138254316267114,0.933666666666667,0.682666666666667
"60246","isoComp_00109189","geneComp_00027683","ENST00000492427.2","U","T",-0.243,7.12869532728643e-05,0.00914252395422094,0.248666666666667,0.00566666666666667
"34984","isoComp_00150914","geneComp_00035637","ENST00000520214.5","U","T",0.241,2.25289095070565e-08,1.13623103850067e-05,0.0143333333333333,0.255333333333333
"29278","isoComp_00128777","geneComp_00031968","ENST00000619420.4","U","T",-0.238333333333333,3.46290116010298e-07,0.000117635610979234,0.751666666666667,0.513333333333333
"80450","isoComp_00069956","geneComp_00020040","ENST00000642864.1","U","T",-0.236333333333333,0.000148993329375128,0.0162231041341331,0.248666666666667,0.0123333333333333
"66782","isoComp_00130185","geneComp_00032202","ENST00000590959.5","U","T",0.235333333333333,9.43537369500863e-05,0.0115083560937577,0.037,0.272333333333333
"26209","isoComp_00065877","geneComp_00019227","ENST00000374843.9","U","T",0.234,8.62973475351775e-10,6.33422530908203e-07,0,0.234
"63959","isoComp_00137573","geneComp_00033356","ENST00000581236.1","U","T",-0.232,3.53486328254926e-07,0.000118609812543596,0.274666666666667,0.0426666666666667
"25852","isoComp_00067893","geneComp_00019690","ENST00000376377.2","U","T",0.231333333333333,9.93280819158537e-05,0.0119379575411382,0,0.231333333333333
"25851","isoComp_00067892","geneComp_00019690","ENST00000259874.6","U","T",-0.231,8.10249692098169e-06,0.0015562852029908,1,0.769
"44016","isoComp_00131342","geneComp_00032369","ENST00000532881.5","U","T",-0.231,3.52378384990026e-05,0.00520077599160862,0.232666666666667,0.00166666666666667
"69467","isoComp_00151107","geneComp_00035672","ENST00000586578.1","U","T",0.230333333333333,1.01206729338307e-05,0.00186966355178507,0.392,0.622333333333333
"29928","isoComp_00133295","geneComp_00032652","ENST00000434526.7","U","T",-0.229666666666667,1.74181689435283e-26,6.50869469322533e-23,0.370333333333333,0.140666666666667
"79740","isoComp_00038396","geneComp_00014571","ENST00000421085.6","U","T",-0.229,2.40788460828541e-08,1.19968107804804e-05,0.235,0.006
"79741","isoComp_00038395","geneComp_00014571","ENST00000380833.9","U","T",0.229,2.14068837992642e-14,3.51963420673982e-11,0.765,0.994
"23908","isoComp_00100590","geneComp_00026323","ENST00000356878.5","U","T",-0.228333333333333,0.000283432750604524,0.0262984645165877,1,0.771666666666667
"23909","isoComp_00100591","geneComp_00026323","ENST00000525929.2","U","T",0.228333333333333,0.000418754384668724,0.0349847159093968,0,0.228333333333333
"52718","isoComp_00050568","geneComp_00016483","ENST00000556785.1","U","T",-0.228333333333333,1.05255495787023e-09,7.39559298945266e-07,0.228333333333333,0
"12624","isoComp_00043627","geneComp_00015412","ENST00000258415.9","U","T",0.224,1.86158689702289e-05,0.00305463743773369,0.604,0.828
"29926","isoComp_00133306","geneComp_00032652","ENST00000651354.1","U","T",0.22,2.95648310331745e-05,0.00450086227699113,0.064,0.284
"26150","isoComp_00107774","geneComp_00027440","ENST00000585246.5","U","T",-0.22,2.59024490014337e-09,1.70351082200789e-06,0.265666666666667,0.0456666666666667
"18204","isoComp_00068762","geneComp_00019854","ENST00000072516.7","U","T",0.216333333333333,1.93112437604609e-06,0.000471079740967351,0.00766666666666667,0.224
"39882","isoComp_00020605","geneComp_00011195","ENST00000463340.1","U","T",0.216333333333333,1.2415974961977e-28,5.37206562986424e-25,0.0266666666666667,0.243
"10927","isoComp_00137116","geneComp_00033284","ENST00000413152.3","U","T",-0.215,5.97098238688204e-06,0.00121500623777425,0.216666666666667,0.00166666666666667
