"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"1408","isoComp_00042970","geneComp_00015986","ENST00000374211.5","UU","TU",0.632666666666667,0.000191453551757476,0.025390436657514,0.082,0.714666666666667
"86513","isoComp_00063441","geneComp_00019459","ENST00000447366.5","UU","TU",0.56,1.49621091684772e-05,0.00364433646459628,0,0.56
"47543","isoComp_00127215","geneComp_00033005","ENST00000357440.7","UU","TU",-0.543333333333333,8.94363907406128e-05,0.0145726853772343,0.855666666666667,0.312333333333333
"62411","isoComp_00055219","geneComp_00017908","ENST00000558514.1","UU","TU",0.523,5.2593544512332e-11,9.01645521661704e-08,0,0.523
"822","isoComp_00103329","geneComp_00027882","ENST00000621990.4","UU","TU",-0.477666666666667,0.000153093796596827,0.0219174901055114,0.848666666666667,0.371
"84273","isoComp_00041082","geneComp_00015678","ENST00000651438.1","UU","TU",0.469333333333333,7.08968449108564e-08,4.10405261900527e-05,0.251,0.720333333333333
"50195","isoComp_00035082","geneComp_00014726","ENST00000539135.1","UU","TU",-0.46,1.04742982547388e-05,0.00274633019563295,0.512333333333333,0.0523333333333333
"9466","isoComp_00134684","geneComp_00034353","ENST00000404752.5","UU","TU",-0.447666666666667,7.91514522690275e-06,0.00213754525728319,0.814333333333333,0.366666666666667
"62581","isoComp_00051408","geneComp_00017322","ENST00000560381.1","UU","TU",-0.435333333333333,4.30521242532e-06,0.00129224502383839,0.632,0.196666666666667
"47548","isoComp_00127217","geneComp_00033005","ENST00000541567.5","UU","TU",0.419,1.27926695551881e-07,6.82891085530749e-05,0,0.419
"26411","isoComp_00035187","geneComp_00014740","ENST00000644313.1","UU","TU",0.414,2.60238681468808e-06,0.000840561512206515,0.0293333333333333,0.443333333333333
"78919","isoComp_00132698","geneComp_00034076","ENST00000352632.7","UU","TU",0.384333333333333,0.000109373009913122,0.0172266355383835,0.018,0.402333333333333
"1382","isoComp_00040338","geneComp_00015583","ENST00000374253.9","UU","TU",-0.382,9.58817737907723e-13,2.31015472652053e-09,0.391333333333333,0.00933333333333333
"66525","isoComp_00043844","geneComp_00016120","ENST00000574481.6","UU","TU",-0.373333333333333,1.89524517351823e-07,9.49187761143989e-05,0.412666666666667,0.0393333333333333
"51477","isoComp_00041161","geneComp_00015693","ENST00000546974.1","UU","TU",-0.360666666666667,1.25753550413259e-05,0.00316220345941846,0.360666666666667,0
"21671","isoComp_00055562","geneComp_00017962","ENST00000511623.1","UU","TU",0.358333333333333,4.54583669892377e-08,2.83390002936334e-05,0.011,0.369333333333333
"78738","isoComp_00057334","geneComp_00018311","ENST00000292853.9","UU","TU",-0.335333333333333,7.10194936766228e-09,5.86219889147212e-06,0.569666666666667,0.234333333333333
"50260","isoComp_00142047","geneComp_00035566","ENST00000162749.7","UU","TU",0.318666666666667,8.44427239520005e-05,0.0139146312609039,0.153666666666667,0.472333333333333
"70767","isoComp_00054572","geneComp_00017797","ENST00000393664.6","UU","TU",0.316333333333333,0.000171619227309355,0.0236831877042525,0.049,0.365333333333333
"55938","isoComp_00137214","geneComp_00034739","ENST00000648194.1","UU","TU",0.315666666666667,0.000109228160550056,0.0172266355383835,0.313666666666667,0.629333333333333
"29373","isoComp_00138422","geneComp_00034914","ENST00000320172.11","UU","TU",-0.296333333333333,0.000197055229984299,0.0259865127032696,0.434,0.137666666666667
"42202","isoComp_00139109","geneComp_00035056","ENST00000524413.5","UU","TU",-0.294666666666667,0.000281028547298035,0.0339469538021381,0.445666666666667,0.151
"42201","isoComp_00139108","geneComp_00035056","ENST00000376356.5","UU","TU",0.294333333333333,6.799306114326e-05,0.0120265425034488,0.554333333333333,0.848666666666667
"88196","isoComp_00106723","geneComp_00028410","ENST00000489283.5","UU","TU",-0.294,4.42205157776477e-05,0.0085512501519088,0.294,0
"31931","isoComp_00098108","geneComp_00026819","ENST00000456458.5","UU","TU",-0.292333333333333,0.000402770644181904,0.0436279399962141,0.364333333333333,0.072
"30785","isoComp_00055031","geneComp_00017862","ENST00000367075.4","UU","TU",0.289,0.000315719589261872,0.036551794144261,0,0.289
"88201","isoComp_00106720","geneComp_00028410","ENST00000420625.6","UU","TU",0.284,0.00016456223831905,0.0229940906887591,0.0663333333333333,0.350333333333333
"54232","isoComp_00118525","geneComp_00030815","ENST00000622220.1","UU","TU",-0.283333333333333,0.00023331227468997,0.0298837490686592,0.301,0.0176666666666667
"52662","isoComp_00026283","geneComp_00013181","ENST00000647763.1","UU","TU",0.279666666666667,9.73028279947578e-07,0.000369117242861646,0,0.279666666666667
"67891","isoComp_00092501","geneComp_00025950","ENST00000361007.7","UU","TU",-0.277,0.000317589938934557,0.0365790572173113,0.301666666666667,0.0246666666666667
"88197","isoComp_00106719","geneComp_00028410","ENST00000355899.8","UU","TU",0.276666666666667,5.81197395009446e-06,0.00167629064316273,0.007,0.283666666666667
"9018","isoComp_00127353","geneComp_00033033","ENST00000282587.9","UU","TU",0.269666666666667,2.13433417924075e-06,0.000707321520731507,0.235333333333333,0.505
"40580","isoComp_00064348","geneComp_00019642","ENST00000434663.5","UU","TU",-0.267,9.56398686233161e-08,5.26296751121158e-05,0.267,0
"85687","isoComp_00031039","geneComp_00014069","ENST00000418863.5","UU","TU",0.264666666666667,3.65288783796369e-06,0.00111905151921288,0.036,0.300666666666667
"54233","isoComp_00118519","geneComp_00030815","ENST00000319176.11","UU","TU",0.261666666666667,6.13218746846425e-26,7.80951594644547e-22,0.0246666666666667,0.286333333333333
"61144","isoComp_00048323","geneComp_00016806","ENST00000565113.5","UU","TU",0.26,4.12016020792551e-05,0.00809030665321444,0.730333333333333,0.990333333333333
"27088","isoComp_00114555","geneComp_00029640","ENST00000519456.1","UU","TU",0.258,0.000107778304756391,0.0170659192435488,0,0.258
"85109","isoComp_00151294","geneComp_00037068","ENST00000216037.10","UU","TU",0.257333333333333,0.000244185213970567,0.0308771337160768,0.651333333333333,0.908666666666667
"53514","isoComp_00046785","geneComp_00016598","ENST00000549100.5","UU","TU",-0.255,2.3380577834948e-05,0.00529382570377422,0.317666666666667,0.0626666666666667
"41431","isoComp_00141216","geneComp_00035403","ENST00000561457.2","UU","TU",0.250666666666667,1.48276606408494e-10,2.06537728617157e-07,0.585666666666667,0.836333333333333
"22774","isoComp_00132456","geneComp_00034039","ENST00000511531.5","UU","TU",-0.248,5.36110458365793e-07,0.00023543171936914,0.299666666666667,0.0516666666666667
