"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"63121","isoComp_00148867","geneComp_00036757","ENST00000417221.8","UU","UT",0.708333333333333,5.74365752864536e-08,3.44831465922799e-05,0.0213333333333333,0.729666666666667
"29476","isoComp_00142198","geneComp_00035638","ENST00000543496.3","UU","UT",-0.699333333333333,1.87002487647979e-05,0.00356765254813697,0.781666666666667,0.0823333333333333
"1411","isoComp_00040152","geneComp_00015545","ENST00000361530.11","UU","UT",0.569333333333333,7.95872354465243e-06,0.00178881310222835,0,0.569333333333333
"64606","isoComp_00116528","geneComp_00030026","ENST00000312499.6","UU","UT",-0.554,1.40318542571487e-06,0.000454789682091753,0.950666666666667,0.396666666666667
"63119","isoComp_00148869","geneComp_00036757","ENST00000556904.5","UU","UT",-0.513666666666667,8.11709445771362e-05,0.0114168975584084,0.589666666666667,0.076
"17245","isoComp_00116389","geneComp_00029999","ENST00000506682.5","UU","UT",-0.443,3.09663670403572e-05,0.00533737256954751,0.453666666666667,0.0106666666666667
"86816","isoComp_00063164","geneComp_00019437","ENST00000447366.5","UU","UT",0.441666666666667,7.61313256548936e-05,0.0109315051949575,0,0.441666666666667
"6675","isoComp_00030684","geneComp_00013988","ENST00000367393.8","UU","UT",0.430666666666667,8.00806869986733e-12,1.52417401180134e-08,0.567666666666667,0.998333333333333
"31345","isoComp_00088614","geneComp_00025215","ENST00000404774.7","UU","UT",0.429,0.000186012024980114,0.0219590052307391,0.00933333333333333,0.438333333333333
"1413","isoComp_00040153","geneComp_00015545","ENST00000374253.9","UU","UT",-0.422333333333333,2.18648978036443e-10,2.50759542695513e-07,0.436333333333333,0.014
"21780","isoComp_00147101","geneComp_00036442","ENST00000453304.6","UU","UT",0.402,0.000449630667789553,0.0430178731412989,0.394666666666667,0.796666666666667
"64604","isoComp_00116530","geneComp_00030026","ENST00000572992.1","UU","UT",0.391,2.12856081914842e-12,4.76026020192304e-09,0.0106666666666667,0.401666666666667
"89245","isoComp_00125618","geneComp_00032776","ENST00000651600.1","UU","UT",0.388,0.000196639677122005,0.022794029752784,0.146333333333333,0.534333333333333
"34530","isoComp_00032112","geneComp_00014279","ENST00000397721.4","UU","UT",-0.367666666666667,0.000457977875258037,0.0434447622812382,0.410333333333333,0.0426666666666667
"6677","isoComp_00030686","geneComp_00013988","ENST00000542800.1","UU","UT",-0.354333333333333,5.16257513309298e-07,0.000201667318135735,0.356,0.00166666666666667
"69727","isoComp_00149214","geneComp_00036806","ENST00000226218.9","UU","UT",-0.345,1.25126893474474e-07,6.43288865273512e-05,0.911,0.566
"2817","isoComp_00113370","geneComp_00029507","ENST00000661174.1","UU","UT",-0.344666666666667,9.49018923828688e-07,0.000327777945293804,0.350333333333333,0.00566666666666667
"69093","isoComp_00137724","geneComp_00034849","ENST00000395930.6","UU","UT",-0.343333333333333,5.38355669535399e-06,0.00133403341878917,0.347,0.00366666666666667
"85522","isoComp_00033277","geneComp_00014428","ENST00000459785.1","UU","UT",-0.341666666666667,2.02285476426074e-05,0.00378565842964318,0.350333333333333,0.00866666666666667
"83910","isoComp_00063714","geneComp_00019552","ENST00000399913.5","UU","UT",-0.333,1.13744173029931e-07,5.98528529317207e-05,0.333,0
"56323","isoComp_00145983","geneComp_00036250","ENST00000668596.1","UU","UT",0.329333333333333,4.79818757177151e-07,0.000189921181076469,0,0.329333333333333
"18948","isoComp_00027226","geneComp_00013293","ENST00000651117.1","UU","UT",-0.328666666666667,3.03092070260015e-11,4.92965475365629e-08,0.328666666666667,0
"74236","isoComp_00000759","geneComp_00000114","ENST00000580477.1","UU","UT",0.324666666666667,4.53909915024435e-07,0.000182903204723022,0.0513333333333333,0.376
"61217","isoComp_00082686","geneComp_00023858","ENST00000560491.2","UU","UT",-0.323,3.17559293979399e-05,0.00543159974052144,0.639666666666667,0.316666666666667
"19688","isoComp_00100049","geneComp_00027425","ENST00000444866.5","UU","UT",0.322,0.000101195816798432,0.0134675102131485,0,0.322
"48533","isoComp_00092125","geneComp_00025924","ENST00000669443.1","UU","UT",0.310333333333333,1.14859277021825e-05,0.00242328694009136,0,0.310333333333333
"71448","isoComp_00089758","geneComp_00025421","ENST00000573318.1","UU","UT",-0.300333333333333,3.99037598344025e-07,0.000166803310092826,0.581333333333333,0.281
"77312","isoComp_00146706","geneComp_00036370","ENST00000665604.1","UU","UT",-0.291333333333333,0.000243092734480114,0.0267806164567963,0.292333333333333,0.001
"62262","isoComp_00030288","geneComp_00013892","ENST00000563905.5","UU","UT",-0.285666666666667,0.000118231964839549,0.0152979006116081,0.301,0.0153333333333333
"14869","isoComp_00065453","geneComp_00019938","ENST00000437379.2","UU","UT",0.281333333333333,1.25206231890814e-17,5.60016173689639e-14,0,0.281333333333333
"66711","isoComp_00043639","geneComp_00016085","ENST00000571605.1","UU","UT",0.280333333333333,3.22771967980905e-06,0.000893918464264143,0.0343333333333333,0.314666666666667
"41605","isoComp_00140597","geneComp_00035354","ENST00000561457.2","UU","UT",0.279,1.9095431529651e-05,0.00361137807079266,0.595333333333333,0.874333333333333
"22035","isoComp_00040946","geneComp_00015650","ENST00000512961.5","UU","UT",0.273,5.52364713314432e-06,0.00135746663267974,0.032,0.305
"13339","isoComp_00074991","geneComp_00021748","ENST00000441020.7","UU","UT",-0.272,7.07848173855213e-06,0.00163197315443861,0.480666666666667,0.208666666666667
"51202","isoComp_00024758","geneComp_00012942","ENST00000539558.1","UU","UT",0.271666666666667,1.65177091415677e-10,2.0522106545263e-07,0.149333333333333,0.421
"87847","isoComp_00058754","geneComp_00018619","ENST00000464598.1","UU","UT",-0.270333333333333,1.7147581479285e-06,0.000547834607581944,0.270333333333333,0
"3114","isoComp_00044235","geneComp_00016199","ENST00000490863.5","UU","UT",0.266,2.7322676374392e-05,0.00483990101994304,0.182333333333333,0.448333333333333
"13340","isoComp_00074994","geneComp_00021748","ENST00000450366.7","UU","UT",0.262666666666667,1.78797499690236e-07,8.48770899406935e-05,0.357333333333333,0.62
"9586","isoComp_00134106","geneComp_00034303","ENST00000649748.1","UU","UT",0.262666666666667,6.01205810599461e-06,0.00143415642099133,0,0.262666666666667
"26896","isoComp_00110188","geneComp_00029025","ENST00000511565.1","UU","UT",-0.261666666666667,0.000196984669013037,0.0227959425181905,0.261666666666667,0
"39889","isoComp_00068543","geneComp_00020560","ENST00000405990.3","UU","UT",0.257666666666667,1.40169864708292e-06,0.000454789682091753,0,0.257666666666667
"47869","isoComp_00106917","geneComp_00028490","ENST00000531239.2","UU","UT",0.257333333333333,4.76267499171417e-07,0.000189353373948352,0,0.257333333333333
"37988","isoComp_00136569","geneComp_00034674","ENST00000287380.6","UU","UT",0.256666666666667,8.26087831140813e-06,0.0018428350856534,0.284666666666667,0.541333333333333
"71100","isoComp_00120969","geneComp_00032023","ENST00000655016.1","UU","UT",-0.256333333333333,8.15508856816765e-09,6.05945692077507e-06,0.268333333333333,0.012
"54901","isoComp_00036370","geneComp_00014931","ENST00000618072.4","UU","UT",-0.254666666666667,7.24046067304118e-06,0.0016607574602741,0.368,0.113333333333333
"70987","isoComp_00077340","geneComp_00022243","ENST00000666319.1","UU","UT",-0.251,4.32504842066105e-06,0.00113459591340245,0.252333333333333,0.00133333333333333
"46020","isoComp_00082498","geneComp_00023815","ENST00000336930.11","UU","UT",-0.248666666666667,0.000315154349469645,0.0327054899440918,0.367666666666667,0.119
"44398","isoComp_00045338","geneComp_00016410","ENST00000369305.1","UU","UT",-0.244,2.91954840549445e-08,1.87890793247127e-05,0.528666666666667,0.284666666666667
"62879","isoComp_00078746","geneComp_00022628","ENST00000506090.5","UU","UT",-0.243,0.000158256513745053,0.0192610019551888,0.337333333333333,0.0943333333333333
"69729","isoComp_00149216","geneComp_00036806","ENST00000542029.1","UU","UT",0.24,0.000237543556201442,0.0263640928287841,0.00666666666666667,0.246666666666667
"44397","isoComp_00045337","geneComp_00016410","ENST00000361384.7","UU","UT",0.24,1.06774145755682e-07,5.65176402874234e-05,0.471,0.711
"59996","isoComp_00137690","geneComp_00034841","ENST00000546492.1","UU","UT",0.237666666666667,0.000504671354694188,0.0466860145131009,0.0806666666666667,0.318333333333333
"71642","isoComp_00055122","geneComp_00017899","ENST00000513602.5","UU","UT",-0.237,1.32021945396248e-06,0.000434192026669904,0.237,0
"29663","isoComp_00033114","geneComp_00014401","ENST00000437768.1","UU","UT",-0.235666666666667,0.000408870430273692,0.0398425973204065,0.839333333333333,0.603666666666667
"71446","isoComp_00089757","geneComp_00025421","ENST00000425159.7","UU","UT",0.233333333333333,8.06947081290555e-08,4.51159069730291e-05,0.254666666666667,0.488
"72384","isoComp_00037013","geneComp_00015053","ENST00000582795.5","UU","UT",-0.232,1.39633805749663e-05,0.0028388504757582,0.247666666666667,0.0156666666666667
"43592","isoComp_00028898","geneComp_00013561","ENST00000635816.1","UU","UT",-0.232,1.47618812234645e-12,3.4750633811711e-09,0.272666666666667,0.0406666666666667
"11119","isoComp_00077732","geneComp_00022337","ENST00000421071.1","UU","UT",0.231666666666667,1.45498983602741e-05,0.00291348221928063,0.000666666666666667,0.232333333333333
"76601","isoComp_00057439","geneComp_00018356","ENST00000393708.3","UU","UT",0.229666666666667,1.48070811057358e-05,0.00295662375069998,0.502,0.731666666666667
"22809","isoComp_00131867","geneComp_00033987","ENST00000511531.5","UU","UT",-0.228666666666667,0.000193131251995739,0.0225542508450115,0.3,0.0713333333333333
"64480","isoComp_00050951","geneComp_00017261","ENST00000587161.5","UU","UT",0.228666666666667,6.15515782951774e-08,3.62243186604941e-05,0,0.228666666666667
"40744","isoComp_00064067","geneComp_00019616","ENST00000394353.7","UU","UT",-0.225666666666667,0.000360623909441202,0.0362467548528795,0.330666666666667,0.105
"42007","isoComp_00109478","geneComp_00028909","ENST00000610727.1","UU","UT",-0.225666666666667,0.00016029333360041,0.0194823915179683,0.772666666666667,0.547
"16015","isoComp_00126256","geneComp_00032889","ENST00000479050.1","UU","UT",0.222666666666667,0.000424147754079175,0.0410185268553001,0.0133333333333333,0.236
"55600","isoComp_00034848","geneComp_00014678","ENST00000255465.7","UU","UT",0.216,9.27948353594361e-06,0.00204962024619219,0.477,0.693
