"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"75307","isoComp_00013665","geneComp_00008351","ENST00000450565.8","UT","TT",-0.772666666666667,1.95546590806416e-06,0.000650128183799316,1,0.227333333333333
"3799","isoComp_00061416","geneComp_00019226","ENST00000471938.1","UT","TT",-0.618666666666667,2.18684015621334e-05,0.0046653955707356,0.62,0.00133333333333333
"64651","isoComp_00131442","geneComp_00034080","ENST00000293861.8","UT","TT",0.611,0.000344878082372609,0.0372239499903023,0.192666666666667,0.803666666666667
"30891","isoComp_00062217","geneComp_00019379","ENST00000282561.4","UT","TT",0.575,5.25851390008696e-05,0.00890389558071229,0.406666666666667,0.981666666666667
"45578","isoComp_00068743","geneComp_00020733","ENST00000420892.1","UT","TT",-0.537,2.63333170837173e-06,0.000827193052778729,0.541666666666667,0.00466666666666667
"45576","isoComp_00068744","geneComp_00020733","ENST00000648167.1","UT","TT",0.487333333333333,0.000318674759192242,0.0349338097032208,0.429333333333333,0.916666666666667
"55801","isoComp_00100587","geneComp_00027627","ENST00000617316.2","UT","TT",-0.476,6.0406152376692e-05,0.00979138586638279,0.834,0.358
"55802","isoComp_00100588","geneComp_00027627","ENST00000646827.1","UT","TT",0.476,8.97752052198828e-06,0.00221630409070744,0.166,0.642
"32636","isoComp_00126913","geneComp_00033163","ENST00000495802.5","UT","TT",0.428333333333333,3.9817560594403e-07,0.000178680812803337,0.00633333333333333,0.434666666666667
"60674","isoComp_00040040","geneComp_00015684","ENST00000555336.6","UT","TT",-0.419666666666667,8.89241301958907e-05,0.0130235250230303,0.427,0.00733333333333333
"26541","isoComp_00102968","geneComp_00028015","ENST00000612927.1","UT","TT",0.405333333333333,3.3694624008222e-05,0.00644841485011132,0.0213333333333333,0.426666666666667
"26540","isoComp_00102967","geneComp_00028015","ENST00000571252.3","UT","TT",-0.405333333333333,1.78925535204027e-07,9.70202413984884e-05,0.978666666666667,0.573333333333333
"45017","isoComp_00125742","geneComp_00032971","ENST00000393459.5","UT","TT",0.402333333333333,3.89163125140365e-06,0.0011472881568863,0.018,0.420333333333333
"32634","isoComp_00126910","geneComp_00033163","ENST00000345317.7","UT","TT",-0.378333333333333,7.72050955948813e-05,0.0117217923138522,0.943666666666667,0.565333333333333
"49518","isoComp_00125270","geneComp_00032893","ENST00000358171.8","UT","TT",0.364666666666667,6.66228362163209e-09,6.13037766460805e-06,0.210666666666667,0.575333333333333
"90177","isoComp_00127872","geneComp_00033334","ENST00000666209.1","UT","TT",-0.363333333333333,6.09812711403334e-07,0.000249647614178706,0.448333333333333,0.085
"57484","isoComp_00147477","geneComp_00036676","ENST00000668596.1","UT","TT",-0.336,7.31830272911235e-08,4.86619055044685e-05,0.336,0
"32592","isoComp_00031757","geneComp_00014350","ENST00000409280.5","UT","TT",0.328666666666667,0.000341616887605798,0.0369156963147542,0.424,0.752666666666667
"64275","isoComp_00124619","geneComp_00032801","ENST00000411539.6","UT","TT",-0.326666666666667,3.71930304154071e-07,0.00016856399496129,0.432666666666667,0.106
"45018","isoComp_00125741","geneComp_00032971","ENST00000224807.9","UT","TT",-0.322,1.72314427031473e-30,2.61619250747651e-26,0.500333333333333,0.178333333333333
"71684","isoComp_00131055","geneComp_00033821","ENST00000665667.1","UT","TT",0.318333333333333,1.03018351761239e-08,8.96778342548805e-06,0.619666666666667,0.938
"54818","isoComp_00021625","geneComp_00012130","ENST00000392977.8","UT","TT",-0.318,4.1707514802456e-05,0.0074352011124159,0.416333333333333,0.0983333333333333
"64273","isoComp_00124618","geneComp_00032801","ENST00000332496.10","UT","TT",0.310333333333333,1.20031277337476e-05,0.00278937990824866,0.189666666666667,0.5
"19258","isoComp_00027553","geneComp_00013487","ENST00000651117.1","UT","TT",0.305333333333333,1.22896087292083e-07,7.41413375361561e-05,0.034,0.339333333333333
"58246","isoComp_00103084","geneComp_00028048","ENST00000216780.9","UT","TT",0.303666666666667,0.000195164877801335,0.0240569412063211,0.0106666666666667,0.314333333333333
"19484","isoComp_00073205","geneComp_00021474","ENST00000421498.1","UT","TT",0.299333333333333,0.00010558250136387,0.0148657550915659,0.000333333333333333,0.299666666666667
"2934","isoComp_00135195","geneComp_00034664","ENST00000371877.7","UT","TT",0.295333333333333,3.95645586009076e-05,0.00719395814432791,0,0.295333333333333
"3701","isoComp_00063030","geneComp_00019513","ENST00000370645.9","UT","TT",0.295,1.28713845190498e-09,1.44756993104613e-06,0.444,0.739
"16700","isoComp_00085060","geneComp_00024332","ENST00000621469.5","UT","TT",-0.293666666666667,1.12348615570107e-08,9.65519762639101e-06,0.557666666666667,0.264
"51318","isoComp_00151940","geneComp_00037408","ENST00000310594.7","UT","TT",0.284,0.000375857729042373,0.0397229400163282,0.461666666666667,0.745666666666667
"28899","isoComp_00039902","geneComp_00015667","ENST00000375779.6","UT","TT",0.283333333333333,8.39760373089888e-14,2.39058784209364e-10,0.0236666666666667,0.307
"88745","isoComp_00103353","geneComp_00028082","ENST00000379145.5","UT","TT",0.265,7.3076039044686e-06,0.00191291231402722,0.013,0.278
"71317","isoComp_00125486","geneComp_00032932","ENST00000317338.17","UT","TT",0.264333333333333,0.000491812291840589,0.0484871564258769,0.144,0.408333333333333
"53581","isoComp_00041948","geneComp_00015938","ENST00000433805.6","UT","TT",0.264333333333333,4.72585840789698e-07,0.000206974421887396,0.218,0.482333333333333
