"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"25642","isoComp_00159031","geneComp_00043172","ENST00000317633.13","CTL","ASD",0.0037783653846154,0.863411016181974,0.989872839074459,0.283515384615385,0.28729375
"2008","isoComp_00179880","geneComp_00046564","ENST00000482771.1","CTL","ASD",-0.0480740384615385,0.257417470657277,0.872451593072795,0.0879615384615385,0.0398875
"89289","isoComp_00057065","geneComp_00021985","ENST00000609084.1","CTL","ASD",-0.0650855769230769,1.74379351362894e-06,0.00742689583788717,0.102723076923077,0.0376375
"25647","isoComp_00159037","geneComp_00043172","ENST00000512868.6","CTL","ASD",0.127796634615385,3.70188033782068e-05,0.0439066437687923,0.0533846153846154,0.18118125
"25646","isoComp_00159035","geneComp_00043172","ENST00000507348.5","CTL","ASD",-0.0487259615384615,0.17455021918946,0.833969998935652,0.154838461538462,0.1061125
"89287","isoComp_00057061","geneComp_00021985","ENST00000354451.6","CTL","ASD",-0.0382918269230769,2.69019623142707e-07,0.00252068696688485,0.0576230769230769,0.01933125
"4202","isoComp_00012621","geneComp_00007854","ENST00000598739.1","CTL","ASD",0.0546413461538462,0.169517385323889,0.829359735344499,0.0592461538461538,0.1138875
"4200","isoComp_00012624","geneComp_00007854","ENST00000624604.3","CTL","ASD",0.120934134615385,0.0581710157847859,0.704936110711155,0.552084615384615,0.67301875
"25644","isoComp_00159032","geneComp_00043172","ENST00000354833.7","CTL","ASD",-0.11041875,0.30206303018496,0.890475337192571,0.2396,0.12918125
"4203","isoComp_00012623","geneComp_00007854","ENST00000624135.3","CTL","ASD",0.0291730769230769,0.653181308512759,0.966385105810753,0.0549769230769231,0.08415
"25645","isoComp_00159034","geneComp_00043172","ENST00000504458.1","CTL","ASD",0.00359567307692307,0.970008028017495,1,0.193023076923077,0.19661875
