"","iso_ref","gene_ref","isoform_id","condition_1","condition_2","dIF","pvalue","padj","IF1","IF2"
"95162","isoComp_00164293","geneComp_00043634","ENST00000612624.4","CTL","ASD",0.135922222222222,0.116804840048998,1,0.1332,0.269122222222222
"31979","isoComp_00085662","geneComp_00026686","ENST00000496081.5","CTL","ASD",-0.0608344444444444,0.0105337382252189,1,0.10269,0.0418555555555556
"95159","isoComp_00164298","geneComp_00043634","ENST00000624534.1","CTL","ASD",0.0472377777777778,0.11872376209061,1,0.04624,0.0934777777777778
"69406","isoComp_00088087","geneComp_00027332","ENST00000498605.1","CTL","ASD",0.0493355555555556,0.272272758753674,1,0.46372,0.513055555555556
"31978","isoComp_00085657","geneComp_00026686","ENST00000376809.10","CTL","ASD",0.166766666666667,8.48399130328586e-07,0.00453639014986695,0.7401,0.906866666666667
"95160","isoComp_00164295","geneComp_00043634","ENST00000622934.3","CTL","ASD",0.179392222222222,0.394828436836051,1,0.22393,0.403322222222222
"96902","isoComp_00056748","geneComp_00021781","ENST00000609513.1","CTL","ASD",-0.0370344444444444,4.78180797339076e-09,8.0966369573448e-05,0.05679,0.0197555555555556
"96900","isoComp_00056746","geneComp_00021781","ENST00000509460.2","CTL","ASD",-0.0453566666666667,0.000518755263268452,0.359235766442614,0.06099,0.0156333333333333
"37005","isoComp_00167486","geneComp_00044346","ENST00000258704.3","CTL","ASD",0.170393333333333,4.80528953887037e-05,0.0854557963006601,0.17524,0.345633333333333
"31981","isoComp_00085660","geneComp_00026686","ENST00000479320.5","CTL","ASD",0.00917555555555555,0.00458359647576249,0.815432889942765,0.00878,0.0179555555555556
"31977","isoComp_00085658","geneComp_00026686","ENST00000396634.5","CTL","ASD",0.0111511111111111,0.0656511834196348,1,0.00766,0.0188111111111111
"31982","isoComp_00085659","geneComp_00026686","ENST00000461903.1","CTL","ASD",-0.02166,0.20546962574577,1,0.02196,3e-04
