"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"489","ENST00000491442.5",0,NA,NA,0,NA,NA,1,"41864578;41865548;41869547","41864648;41865615;41869630",0,NA,NA,0,NA,NA,0,NA,NA,1,"41918669;42035807","41918922;42035925",1,"41506365;41512816;41518402;41524735;41575544;41579737;41628749;41700916","41511266;41513750;41518488;41524910;41575689;41585318;41628947;41700995"
"59","ENST00000481960.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"26346121;26346655","26346432;26346817",1,"26308173;26309216;26310043;26310196;26310692;26312943;26313377;26313760;26314414;26314624;26315522;26316244;26316912;26317496;26318966","26309107;26309581;26310105;26310237;26312074;26313122;26313573;26313903;26314623;26314806;26315767;26316448;26317055;26317562;26319102"
"1067","ENST00000453227.5",1,"99605464","99605559",0,NA,NA,0,NA,NA,0,NA,NA,1,"99598372","99598381",0,NA,NA,1,"99598267","99598279",1,"99610762","99611045"
"903","ENST00000583447.5",0,NA,NA,0,NA,NA,1,"39057863;39061097","39058036;39061188",0,NA,NA,1,"39057159","39057168",0,NA,NA,0,NA,NA,1,"39107417;39111772;39113001","39108349;39112239;39113190"
"904","ENST00000584586.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"39057019","39057064",1,"39061097;39063422;39072467;39073068;39079804;39107417;39111772;39113001","39061188;39063546;39072591;39073333;39081451;39108349;39112239;39113190"
"407","ENST00000621208.4",2,"83281550;83331852","83281608;83331961",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"83538085","83538401",1,"83242990;83244622","83243215;83244626"
"626","ENST00000452395.1",1,"23357721","23357855",0,NA,NA,0,NA,NA,1,"23356970","23357050",0,NA,NA,0,NA,NA,0,NA,NA,1,"23356594","23356795"
"1010","ENST00000419593.5",1,"45399690","45399751",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"45363502","45363529",0,NA,NA,0,NA,NA
"408","ENST00000429929.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"185652374;185783691","185653875;185784130"
"409","ENST00000436557.5",1,"185788020","185788209",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"185800150","185800151",1,"185652374","185653875"
"1142","ENST00000377838.8",1,"134564987","134565152",0,NA,NA,2,"134594807;134599730,134674730;134696431","134594885;134599862,134674888;134696554",0,NA,NA,0,NA,NA,0,NA,NA,1,"134713031","134713049",0,NA,NA
"333","ENST00000359388.8",1,"95802680","95802794",0,NA,NA,1,"95818499;95828057","95818963;95828116",0,NA,NA,0,NA,NA,0,NA,NA,1,"95772554","95772598",1,"96109979","96110322"
"777","ENST00000510859.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"113211522;113216156;113225602;113230516;113235515;113236269;113238090;113239089;113241201","113211619;113216362;113225677;113230616;113235570;113236622;113238531;113241101;113241410",1,"113266973;113269824;113271836;113273057","113267010;113270307;113271971;113276581"
"1135","ENST00000586438.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"48180330;48185324;48185934;48338174;48375538;48408358;48409226;48410679","48180477;48185455;48185995;48338398;48375564;48408655;48409383;48410752",1,"48026672","48026673"
"329","ENST00000514950.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"67612651","67612837"
"644","ENST00000455811.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"8501629;8609438;8611123;8611494;8611858","8501672;8609592;8611359;8611639;8611900",1,"7951263;7955310;7992226;8015877;8193137;8220683;8494667;8496835","7954822;7955466;7992302;8016307;8195073;8222719;8494766;8498485"
"471","ENST00000612061.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"149861148","149861210",1,"149854045","149854217"
"612","ENST00000394319.8",1,"122221049","122221740",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,"122213780;122227030;122227480","122213922;122227123;122227586",1,"122228845","122228941",1,"122202577","122202579"
"404","ENST00000304195.8",3,"83281550;83331852;83467618","83281608;83331961;83467742",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"83242990","83243215"
"470","ENST00000579512.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"149854045;149859185;149859952","149854217;149859681;149860079"
"678","ENST00000486123.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"190408355;190415292;190435301;190435977;190437424;190469758;190488657;190489768","190408503;190415413;190435329;190436498;190437561;190469855;190488818;190489820",1,"190499832;190500015","190499856;190502315"
"750","ENST00000356091.11",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"58714670","58714964",2,"58693169;58713731","58693737;58713917",1,"58689131;58691724","58689211;58691830",1,"58715844;58717364;58718080","58716311;58717995;58719238"
"770","ENST00000522811.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"80991479;80993103;81029791;81070112;81111591","80991530;80993307;81030089;81070176;81112068",1,"80967810;80975522;80980435;80984776","80970907;80975780;80980494;80985228"
"935","ENST00000345714.8",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"66831311","66831313",1,"66840680","66841024",1,"66712777;66737226;66775181","66712833;66737666;66775319",0,NA,NA
"465","ENST00000289316.2",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"26158559","26158641",0,NA,NA,0,NA,NA,0,NA,NA
"466","ENST00000377777.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"26170975","26171349"
"482","ENST00000592695.1",1,"45162488","45162635",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"45161078;45161845","45161400;45161917",0,NA,NA
"142","ENST00000549124.1",1,"49831959","49832466",0,NA,NA,0,NA,NA,0,NA,NA,3,"49828744;49829083;49838640","49828748;49830730;49839670",0,NA,NA,1,"49827913;49828542","49827978;49828723",1,"49840204","49841143"
"251","ENST00000509176.5",3,"90235031;90325596;90403924","90235343;90325707;90404131",0,NA,NA,5,"90641940;90649508;90663845,90727204;90780442,90911255;90918230,90938676;91015361;91017158,91129843;91283809","90642471;90649624;90663935,90727297;90782004,90911357;90918327,90938832;91015494;91017304,91130040;91283854",0,NA,NA,2,"90468354;90923447","90468448;90923530",1,"90628021","90628025",1,"90127535","90127585",0,NA,NA
"1011","ENST00000452133.1",1,"45399690","45399751",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"45363200;45363502","45363315;45363510",1,"45410068","45410610"
