"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","codingPotentialValue","codingPotential","domain_identified","idr_identified","signal_peptide_identified","IR","switchConsequencesGene"
"61139","isoComp_00013665","geneComp_00008351","ENST00000450565.8","ADCYAP1","UT","TT","ADCYAP1","protein_coding","protein_coding",1.20219145084492,1.02718384050896,1.37719906118088,0.719735283650882,0.853257049176091,0.419503193237212,NA,0.797893037847951,1.02718384050896,0.568602235186938,0.719735283650882,0.350921647522516,-0.84202783242038,NA,0.613666666666667,1,0.227333333333333,-0.772666666666667,0.000650128183799316,0.000650128183799316,FALSE,0.9732419645389,TRUE,"yes","yes","yes",0,TRUE
"79406","isoComp_00061416","geneComp_00019226","ENST00000471938.1","GBP4","UT","TT","GBP4","protein_coding","processed_transcript",4.71646201404796,1.50974164914525,7.92318237895067,0.271062549276068,3.62061590869694,2.38407362471781,NA,0.122335011146898,0.244670022293796,0,0.0201563709302836,0,-4.67055724204002,NA,0.310666666666667,0.62,0.00133333333333333,-0.618666666666667,0.0046653955707356,0.0046653955707356,NA,0.025776879146384,FALSE,NA,NA,NA,0,TRUE
"78667","isoComp_00131442","geneComp_00034080","ENST00000293861.8","SNRNP25","UT","TT","SNRNP25","protein_coding","protein_coding",23.3792867719753,23.3094336545739,23.4491398893767,2.47726704678838,1.22411115219458,0.00861736800046944,NA,13.8429883167949,6.62398346012592,21.0619931734639,5.36106425719733,1.76723331401529,1.667379463018,NA,0.498166666666667,0.192666666666667,0.803666666666667,0.611,0.0372239499903023,0.0372239499903023,FALSE,0.97494346888915,TRUE,"yes","no","no",0,FALSE
"71136","isoComp_00062217","geneComp_00019379","ENST00000282561.4","GJA1","UT","TT","GJA1","protein_coding","protein_coding",9.57358355661712,4.15772022838881,14.9894468848454,3.61007764085921,14.3296416689916,1.84757896086814,NA,9.44132300391236,3.92751269180741,14.9551333160173,3.72649245378861,14.3424119124638,1.92624865219058,NA,0.694166666666667,0.406666666666667,0.981666666666667,0.575,0.00890389558071229,0.00890389558071229,FALSE,0.99983181513857,TRUE,"yes","yes","no",0,FALSE
"84888","isoComp_00068743","geneComp_00020733","ENST00000420892.1","HTRA1","UT","TT","HTRA1","protein_coding","protein_coding",2.62464665608089,2.69655740608013,2.55273590608166,0.733595095017546,1.21594128058192,-0.0787741736144975,NA,0.675881357697847,1.24785014511435,0.103912570281348,0.24955212329266,0.0945100671778497,-3.46496119322778,NA,0.273166666666667,0.541666666666667,0.00466666666666667,-0.537,0.000827193052778729,0.000827193052778729,FALSE,0.98869495407044,TRUE,"yes","no","no",0,TRUE
"84889","isoComp_00068744","geneComp_00020733","ENST00000648167.1","HTRA1","UT","TT","HTRA1","protein_coding","protein_coding",2.62464665608089,2.69655740608013,2.55273590608166,0.733595095017546,1.21594128058192,-0.0787741736144975,NA,1.6375301040657,1.21064130235455,2.06441890577684,0.443807533664554,0.868007984474923,0.765067947506098,NA,0.673,0.429333333333333,0.916666666666667,0.487333333333333,0.0349338097032208,0.000827193052778729,FALSE,0.99997421060561,TRUE,"yes","no","no",0,TRUE
"153146","isoComp_00100587","geneComp_00027627","ENST00000617316.2","ORAI1","UT","TT","ORAI1","protein_coding","protein_coding",1.43341709482281,1.45308914646302,1.4137450431826,0.137312790568087,0.22792723077339,-0.0393268568488723,NA,0.489547812483981,0.805474517608214,0.173621107359748,0.18332813496327,0.114308914855847,-2.15090788855082,NA,0.596,0.834,0.358,-0.476,0.00979138586638279,0.00221630409070744,FALSE,0.99989976346411,TRUE,"yes","yes","no",0,TRUE
"153147","isoComp_00100588","geneComp_00027627","ENST00000646827.1","ORAI1","UT","TT","ORAI1","protein_coding","processed_transcript",1.43341709482281,1.45308914646302,1.4137450431826,0.137312790568087,0.22792723077339,-0.0393268568488723,NA,0.943866995960228,0.647610056097607,1.24012393582285,0.198574489515576,0.341634812522709,0.926766863246138,NA,0.404,0.166,0.642,0.476,0.00221630409070744,0.00221630409070744,NA,0.99955829890056,TRUE,NA,NA,NA,1,TRUE
"616","isoComp_00126913","geneComp_00033163","ENST00000495802.5","SKAP2","UT","TT","SKAP2","protein_coding","processed_transcript",2.28767173419851,1.96962405724188,2.60571941115515,0.452441531394806,0.468493034333845,0.401981311220968,NA,0.492432172111775,0.0199272125535007,0.964937131670049,0.0199272125535007,0.213054148816033,5.02577937405812,NA,0.2205,0.00633333333333333,0.434666666666667,0.428333333333333,0.000178680812803337,0.000178680812803337,NA,0.03824776615376,FALSE,NA,NA,NA,0,TRUE
"84780","isoComp_00040040","geneComp_00015684","ENST00000555336.6","CLMN","UT","TT","CLMN","protein_coding","protein_coding",1.06268992915174,1.10658320533618,1.0187966529673,0.262377053505742,0.098579222837801,-0.118132907444172,NA,0.182513630350429,0.365027260700859,0,0.0358908678983827,0,-5.22892356369188,NA,0.217166666666667,0.427,0.00733333333333333,-0.419666666666667,0.0130235250230303,0.0130235250230303,NA,0.62224004242823,FALSE,NA,NA,NA,0,TRUE
"147169","isoComp_00102968","geneComp_00028015","ENST00000612927.1","PCDHGA4","UT","TT","PCDHGA4","protein_coding","protein_coding",1.48419161233361,1.50608084995848,1.46230237470875,0.326773477174435,0.0530291445309623,-0.0422726960660741,NA,0.240574156029294,0,0.481148312058588,0,0.0821889902290755,5.618086835847,NA,0.224,0.0213333333333333,0.426666666666667,0.405333333333333,0.00644841485011132,9.70202413984884e-05,FALSE,0.99999999998567,TRUE,"yes","yes","no",0,TRUE
"147168","isoComp_00102967","geneComp_00028015","ENST00000571252.3","PCDHGA4","UT","TT","PCDHGA4","protein_coding","protein_coding",1.48419161233361,1.50608084995848,1.46230237470875,0.326773477174435,0.0530291445309623,-0.0422726960660741,NA,1.24361745630432,1.50608084995848,0.981154062650166,0.326773477174435,0.0945378585180444,-0.613165462911673,NA,0.776,0.978666666666667,0.573333333333333,-0.405333333333333,9.70202413984884e-05,9.70202413984884e-05,FALSE,0.99999999999967,TRUE,"yes","yes","no",0,TRUE
"28086","isoComp_00125742","geneComp_00032971","ENST00000393459.5","SFXN3","UT","TT","SFXN3","protein_coding","protein_coding",39.0971366900463,38.0564828464648,40.1377905336278,12.7214353909974,13.5244919549958,0.0767993154061183,NA,10.072846808173,3.16451309335653,16.9811805229895,2.80014070506635,6.11750286101463,2.42017885891851,NA,0.219166666666667,0.018,0.420333333333333,0.402333333333333,0.0011472881568863,2.61619250747651e-26,FALSE,0.99986487800506,TRUE,"yes","no","no",0,FALSE
"613","isoComp_00126910","geneComp_00033163","ENST00000345317.7","SKAP2","UT","TT","SKAP2","protein_coding","protein_coding",2.28767173419851,1.96962405724188,2.60571941115515,0.452441531394806,0.468493034333845,0.401981311220968,NA,1.71971227776205,1.79864227603901,1.6407822794851,0.36695226781379,0.266272911189148,-0.131757234657924,NA,0.7545,0.943666666666667,0.565333333333333,-0.378333333333333,0.0117217923138522,0.000178680812803337,FALSE,0.99959348325126,TRUE,"yes","yes","no",0,TRUE
"68465","isoComp_00125270","geneComp_00032893","ENST00000358171.8","SERPINH1","UT","TT","SERPINH1","protein_coding","protein_coding",8.46914202473226,4.84967482952638,12.0886092199381,2.35639593414332,8.92136653053614,1.31590952528953,NA,6.70624481283189,2.93965863056599,10.4728309950978,2.33189499700792,8.69332913909815,1.82940848046953,NA,0.393,0.210666666666667,0.575333333333333,0.364666666666667,6.13037766460805e-06,6.13037766460805e-06,FALSE,0.99999907225094,TRUE,"yes","no","yes",1,FALSE
"123707","isoComp_00127872","geneComp_00033334","ENST00000666209.1","SLC25A5-AS1","UT","TT","SLC25A5-AS1","lncRNA","lncRNA",1.70211734850016,1.90650508741455,1.49772960958577,0.215699346163292,0.114129723219684,-0.346100103378568,NA,0.396934619022763,0.790931507977364,0.00293773006816208,0.283093964690786,0.00293773006816208,-5.95202245217616,NA,0.266666666666667,0.448333333333333,0.085,-0.363333333333333,0.000249647614178706,0.000249647614178706,NA,0.0010698579973386,FALSE,NA,NA,NA,0,TRUE
"127178","isoComp_00147477","geneComp_00036676","ENST00000668596.1","UBAC2-AS1","UT","TT","UBAC2-AS1","lncRNA","lncRNA",2.04267136952425,2.2020339795924,1.88330875945611,0.137418958931606,0.0726400638917204,-0.224463843415744,NA,0.426528672344672,0.853057344689343,0,0.234866201723255,0,-6.43138451541605,NA,0.168,0.336,0,-0.336,4.86619055044685e-05,4.86619055044685e-05,NA,0.0043270910437316,FALSE,NA,NA,NA,0,FALSE
"71926","isoComp_00031757","geneComp_00014350","ENST00000409280.5","C7orf31","UT","TT","C7orf31","protein_coding","protein_coding",3.14674739572054,3.69680359899409,2.596691192447,0.494130313998894,0.417500006155731,-0.507955996661828,NA,1.3397115997801,1.0676921514883,1.6117310480719,0.348563018863797,0.500017171784875,0.58958945583694,NA,0.588333333333333,0.424,0.752666666666667,0.328666666666667,0.0369156963147542,0.0369156963147542,FALSE,0.99999911728963,TRUE,"yes","no","no",0,TRUE
"105854","isoComp_00124619","geneComp_00032801","ENST00000411539.6","SEMA4B","UT","TT","SEMA4B","protein_coding","protein_coding",29.9037786243923,30.1927158921365,29.6148413566481,3.79933356547531,2.40833599212438,-0.0278708572886841,NA,6.77546492048962,11.0067577727294,2.54417206824987,1.21405887869102,0.39850195777395,-2.10877207759763,NA,0.269333333333333,0.432666666666667,0.106,-0.326666666666667,0.00016856399496129,0.00016856399496129,FALSE,0.99999999999192,TRUE,"yes","no","yes",0,FALSE
"28085","isoComp_00125741","geneComp_00032971","ENST00000224807.9","SFXN3","UT","TT","SFXN3","protein_coding","protein_coding",39.0971366900463,38.0564828464648,40.1377905336278,12.7214353909974,13.5244919549958,0.0767993154061183,NA,13.494619483548,18.6161426451772,8.3730963219187,5.8778552967246,3.4214665694277,-1.15177382107624,NA,0.339333333333333,0.500333333333333,0.178333333333333,-0.322,2.61619250747651e-26,2.61619250747651e-26,FALSE,0.99986495181461,TRUE,"yes","no","no",0,FALSE
"149195","isoComp_00131055","geneComp_00033821","ENST00000665667.1","SNHG30","UT","TT","SNHG30","lncRNA","lncRNA",17.2527033653361,17.3355748545792,17.1698318760929,1.03417154302842,0.563375286627049,-0.0138517360213274,NA,11.0212420353412,7.47495100739688,14.5675330632855,2.59900183329995,2.05526925896734,0.961681816645154,NA,0.778833333333333,0.619666666666667,0.938,0.318333333333333,8.96778342548805e-06,8.96778342548805e-06,NA,0.0028719419782163,FALSE,NA,NA,NA,0,FALSE
"70250","isoComp_00021625","geneComp_00012130","ENST00000392977.8","ANO4","UT","TT","ANO4","protein_coding","protein_coding",4.52765555589695,4.18304382036474,4.87226729142916,1.0355136111631,1.5327945082783,0.219553373602393,NA,1.11672145518871,1.6476630483098,0.585779862067623,0.437566835746632,0.103560101508813,-1.47629951625535,NA,0.257333333333333,0.416333333333333,0.0983333333333333,-0.318,0.0074352011124159,0.0074352011124159,FALSE,0.99999999999488,TRUE,"yes","no","no",0,TRUE
"105853","isoComp_00124618","geneComp_00032801","ENST00000332496.10","SEMA4B","UT","TT","SEMA4B","protein_coding","protein_coding",29.9037786243923,30.1927158921365,29.6148413566481,3.79933356547531,2.40833599212438,-0.0278708572886841,NA,10.8081184609051,6.73768285252867,14.8785540692815,2.55984988877361,1.10053238182556,1.14173957830329,NA,0.344833333333333,0.189666666666667,0.5,0.310333333333333,0.00278937990824866,0.00016856399496129,FALSE,0.99999999999193,TRUE,"yes","no","yes",0,FALSE
"90213","isoComp_00027553","geneComp_00013487","ENST00000651117.1","B3GALNT1","UT","TT","B3GALNT1","protein_coding","protein_coding",5.13369636354638,5.42764859763342,4.83974412945934,1.23173947151559,1.2529828314433,-0.165074288413267,NA,0.447505305012001,0.0057783221529987,0.889232287871003,0.0057783221529987,0.283926192725552,5.83267813371752,NA,0.186666666666667,0.034,0.339333333333333,0.305333333333333,7.41413375361561e-05,7.41413375361561e-05,FALSE,0.99164801171508,TRUE,"yes","no","no",0,FALSE
"20367","isoComp_00103084","geneComp_00028048","ENST00000216780.9","PCK2","UT","TT","PCK2","protein_coding","protein_coding",2.06018285311778,1.81134047632839,2.30902522990717,0.369332914893297,0.779589065262515,0.348517874986453,NA,0.614635658070281,0.202446675806661,1.0268246403339,0.126330318606348,0.570680758560795,2.28699923484528,NA,0.1625,0.0106666666666667,0.314333333333333,0.303666666666667,0.0240569412063211,0.0240569412063211,FALSE,0.99999999186927,TRUE,"yes","no","no",0,TRUE
