"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"177","ENST00000374211.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"26325065;26328209;26328609;26331489;26336095;26336338;26336606;26336841;26337253;26337538;26338012;26338351;26339290;26342754;26343047;26343246;26343745;26354036","26325120;26328332;26328873;26331618;26336207;26336383;26336732;26336980;26337379;26337674;26338047;26338477;26339429;26342883;26343159;26343293;26346712;26354130",1,"26321859","26321877"
"294","ENST00000447366.5",1,"9747833","9748073",0,NA,NA,1,"9765568;9766120","9765847;9766189",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"9725346;9738229;9739485","9725840;9738585;9739552"
"599","ENST00000357440.7",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"66371760;66372010","66371820;66372214",0,NA,NA
"236","ENST00000558514.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"80152780;80152855;80152999;80155951;80159756;80160058;80160410;80162246;80167103","80152841;80152905;80153135;80158170;80159877;80160299;80160523;80163707;80167242",1,"80172149;80173014;80175016;80177407;80180124;80181042;80186130","80172248;80173753;80175092;80177583;80180330;80181159;80186946"
"452","ENST00000621990.4",0,NA,NA,0,NA,NA,1,"13584267;13585472","13584341;13585568",0,NA,NA,2,"13584100;13614411","13584188;13614514",0,NA,NA,1,"13583757","13583831",0,NA,NA
"164","ENST00000651438.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"45497661","45497812",1,"45505835","45505838",0,NA,NA,0,NA,NA
"135","ENST00000539135.1",0,NA,NA,0,NA,NA,1,"4251440;4252367;4275022;4275296","4251544;4254203;4275065;4275477",0,NA,NA,0,NA,NA,0,NA,NA,1,"4276184","4276252",1,"4247981","4248765"
"679","ENST00000404752.5",1,"48530713","48530829",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"48529383","48529587",1,"48598512","48598513"
"218","ENST00000560381.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"84080168;84081146;84084200;84090209;84102031;84102875;84104605;84112041;84112834","84080326;84081245;84084267;84090293;84102164;84103012;84104819;84112117;84112946",1,"84121561;84126462","84121669;84126604"
"601","ENST00000541567.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"66369131","66369199",1,"66371647;66372010","66371820;66372214",1,"66362521","66362523"
"149","ENST00000644313.1",3,"160254129;160281381;160312364","160254335;160281389;160312600",0,NA,NA,1,"160261081;160269463;160274822;160276269","160261337;160269544;160274858;160276412",0,NA,NA,0,NA,NA,1,"160280738","160280948",1,"160315382;160339445;160342216;160345320","160315505;160339650;160342716;160345396",1,"160249106","160251657"
"653","ENST00000352632.7",3,"40467219;40524544;40571039","40467305;40524629;40571093",0,NA,NA,1,"40530488;40530766","40530590;40530856",1,"40549399","40549399",4,"40534343;40554646;40560403;40572380","40534856;40555302;40560752;40572632",2,"40497429;40550237","40497489;40550238",0,NA,NA,0,NA,NA
"152","ENST00000374253.9",1,"26182005","26182082",0,NA,NA,0,NA,NA,0,NA,NA,1,"26180896","26181083",4,"26180168;26181587;26186915;26187293","26180453;26181857;26187168;26187411",1,"26177484","26177509",0,NA,NA
"183","ENST00000574481.6",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"67930681","67930726",0,NA,NA,1,"67931862","67932365",0,NA,NA
"174","ENST00000546974.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"47977600;47978010;47978291;47978597;47979511;47980009;47980554;47980915;47981343;47981776;47981945;47982502;47982848;47983093;47983385;47983683;47984087;47984546;47984995;47985534;47985728;47985912;47986336;47986835;47987078;47987269;47987611;47988426;47989228;47989761;47992878;47993458;47993809;47993994;47994424;47995255;47995710;47995875;47996548;47997606;47997871;47998032;47998169;47998415;47999697;48000985;48004237","47977653;47978117;47978398;47978758;47979564;47980062;47980661;47980968;47981396;47981829;47982160;47982609;47982946;47983137;47983438;47983736;47984140;47984599;47985093;47985587;47985826;47985965;47986443;47986888;47987176;47987313;47987709;47988471;47989281;47989805;47992931;47993502;47993862;47994047;47994477;47995308;47995763;47995919;47996625;47997707;47997924;47998064;47998201;47998859;48000125;48001094;48004554",1,"47972967;47974089;47974675;47975317","47973553;47974331;47974862;47975353"
"252","ENST00000511623.1",1,"88736361","88736634",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"88732198","88732559",1,"88739030;88746932;88747631;88748952;88749771;88750424;88758754;88767553;88767983;88781165;88787753;88790586;88805011;88822976;88851020;88906379;88938088;88989624;89008951;89020460;89029460;89056938;89057118;89111042","88739125;88747015;88747851;88749033;88749909;88750637;88759469;88767595;88768059;88781351;88787932;88790627;88805052;88823361;88851183;88906462;88938241;88991150;89009078;89020669;89029649;89056988;89057345;89111398",1,"88725955;88731327;88731833","88728659;88731428;88732122"
"265","ENST00000292853.9",0,NA,NA,0,NA,NA,0,NA,NA,1,"39024243","39024399",0,NA,NA,1,"39031320","39031402",1,"39032686","39032785",1,"38990714;39014387","38990761;39014547"
"722","ENST00000162749.7",1,"6331872","6331993",0,NA,NA,0,NA,NA,1,"6333443","6333457",1,"6333920","6334091",1,"6333865","6333890",1,"6342076","6342114",1,"6328757","6328771"
"221","ENST00000393664.6",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43536316","43536426",1,"43530181","43530434",1,"43545671;43545861;43546185","43545713;43546025;43546340",1,"43527844","43527846"
"688","ENST00000648194.1",0,NA,NA,0,NA,NA,1,"75316472;75324237","75316552;75324401",0,NA,NA,0,NA,NA,0,NA,NA,1,"75481270","75482114",0,NA,NA
"689","ENST00000320172.11",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"81752376","81752431",0,NA,NA,1,"81752681","81752774",1,"81491439;81495034","81491681;81495113"
