Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	ENST00000377541.5	1524	1137	0.9763	0.15105040245	0.9997165663254	yes
1	ENST00000614998.4	6261	3576	0.8387	0.168374089561	1	yes
2	ENST00000377532.7	6279	3633	0.8387	0.168637179542	1	yes
3	ENST00000361923.2	6203	3606	0.8387	0.167204378908	1	yes
4	ENST00000473653.1	523	162	0.6609	-0.161916885431	0.004634000861227	no
5	ENST00000602883.1	1249	288	0.5893	-0.226953102508	0.0089610993594785	no
6	ENST00000463106.1	715	192	0.5561	0.0141818080053	0.014434545328741	no
7	ENST00000494684.1	555	189	1.1622	0.185163396649	0.22915704889367	no
8	ENST00000377346.9	5412	3135	1.3029	0.640852678766	1	yes
9	ENST00000628140.2	5483	3207	1.2873	0.627987295364	1	yes
10	ENST00000484851.1	515	132	0.6733	-0.171198893854	0.003282445951763	no
11	ENST00000361110.6	3508	3207	1.2873	0.627987295364	1	yes
12	ENST00000481137.1	386	258	1.0717	0.354100759192	0.59248417832255	yes
13	ENST00000479223.1	539	327	1.2978	0.543143445044	0.95561700906601	yes
14	ENST00000617617.4	2808	717	1.1486	0.239133690869	0.9907358972063	yes
15	ENST00000376057.8	2801	711	1.1684	0.234241941826	0.990413522177	yes
16	ENST00000621990.4	2738	489	1.1917	0.330208835427	0.95017945606817	yes
17	ENST00000510906.5	786	486	1.1585	0.328975528627	0.94891630855704	yes
18	ENST00000509009.5	571	474	1.2258	0.348221922866	0.95865961598658	yes
19	ENST00000376061.8	1368	363	1.2317	0.353039165857	0.87496052443486	yes
20	ENST00000475043.5	849	501	1.1858	0.331899470262	0.96027678673907	yes
21	ENST00000481077.6	865	192	1.2533	-0.0664944000104	0.070778584136884	no
22	ENST00000361530.11	2535	2142	1.0345	0.377074188991	0.99999999892159	yes
23	ENST00000465415.1	624	417	1.1651	0.317122449322	0.89361046684581	yes
24	ENST00000374253.9	2538	2163	1.0712	0.380049466775	0.99999999924899	yes
25	ENST00000525687.5	1200	939	1.2715	0.366899654529	0.99977514844953	yes
26	ENST00000482227.5	2507	1368	0.8745	0.357547278383	0.99999127750812	yes
27	ENST00000531191.5	2673	1368	0.8745	0.357547278383	0.99999118914793	yes
28	ENST00000524529.6	562	105	0.8811	-0.232063334869	0.0031424515503314	no
29	ENST00000531150.5	581	156	1.1416	0.236026155436	0.21410663212163	no
30	ENST00000480617.1	467	132	1.208	-0.150762133409	0.019878658009736	no
31	ENST00000484874.2	642	147	0.7337	-0.00536600831504	0.013697665485185	no
32	ENST00000308182.9	5245	4986	0.9882	0.361522783636	1	yes
33	ENST00000374211.5	691	336	1.0741	0.506468064807	0.90137307215881	yes
34	ENST00000374208.1	469	336	1.0741	0.506468064807	0.90256493007175	yes
35	ENST00000527815.6	4828	4677	1.0087	0.351809776988	1	yes
36	ENST00000520372.5	554	342	1.1885	-0.188233428998	0.12548008214593	no
37	ENST00000262741.10	5596	1386	1.0932	0.266002974192	0.99999202647615	yes
38	ENST00000372006.5	5019	1437	1.1691	0.256937738001	0.99999628982629	yes
39	ENST00000420542.5	5174	1386	1.0932	0.266002974192	0.99999222818667	yes
40	ENST00000488808.1	3117	618	1.2013	0.323703742158	0.98670695459814	yes
41	ENST00000423209.5	1884	1209	1.0641	0.252931550275	0.99994847336831	yes
42	ENST00000493202.1	765	609	1.127	0.193459758577	0.9630044598564	yes
43	ENST00000360380.7	5225	3864	0.9135	-0.00291577909901	1	yes
44	ENST00000337817.9	5087	3726	0.9135	-0.00185473222437	1	yes
45	ENST00000371877.7	5009	3867	0.9135	-0.00234404981192	1	yes
