Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	ENST00000624697.4	787	474	1.2516	0.648697862393	0.99448920473714	yes
1	ENST00000624652.1	657	429	1.2516	0.706168516646	0.99391808253429	yes
2	ENST00000649529.1	637	498	1.2516	0.656344401577	0.9959885959046	yes
3	ENST00000378585.7	1914	1359	1.3245	0.66076897994	0.99999969537433	yes
4	ENST00000638604.1	2377	834	1.2569	0.0621024954052	0.99414665969122	yes
5	ENST00000638771.1	1707	1503	1.1943	0.518591940238	0.99999975593596	yes
6	ENST00000639935.1	561	474	1.2931	0.746841385926	0.99749665574209	yes
7	ENST00000640423.1	1172	1089	1.35	0.712764948217	0.99999646749453	yes
8	ENST00000639777.1	2393	1956	1.2043	0.455758570718	0.9999999972134	yes
9	ENST00000640981.1	960	906	1.1943	0.520914850809	0.99985402814014	yes
10	ENST00000638763.1	504	501	1.3306	0.745311624178	0.99832576086298	yes
11	ENST00000639070.1	2171	864	1.3029	0.601375968751	0.99989659832932	yes
12	ENST00000640892.1	2036	870	0.9876	0.333490152226	0.99848450027647	yes
13	ENST00000640688.1	1295	723	1.331	0.500494932177	0.99919812404417	yes
14	ENST00000426449.5	660	549	0.9545	0.358267634971	0.9594211686595	yes
15	ENST00000409119.5	896	582	0.9545	0.341376069989	0.96751693549815	yes
16	ENST00000355716.4	1707	852	0.8623	0.31231068696	0.99692795943685	yes
17	ENST00000475523.5	1645	600	0.9984	0.284080158989	0.964524217637	yes
18	ENST00000482074.6	957	537	0.5957	0.191330124479	0.68692476875251	yes
19	ENST00000496064.5	1480	555	0.9512	0.345587121519	0.95623099821078	yes
20	ENST00000463471.6	4255	1188	0.6244	-0.01913735212	0.99821136792827	yes
21	ENST00000471768.1	539	450	0.8537	-0.0222036167662	0.32548507954065	no
22	ENST00000463835.5	872	498	0.8359	0.144508303824	0.69314092053384	yes
23	ENST00000480305.1	494	117	1.194	-0.165818386347	0.014697954940784	no
24	ENST00000375031.5	3705	1020	1.2242	0.491797353222	0.9999445242102	yes
25	ENST00000460804.5	3063	300	0.5682	-0.107594972751	0.018624023256039	no
26	ENST00000447746.6	544	402	1.1357	0.453506961237	0.94152729337845	yes
27	ENST00000518294.5	511	393	1.1357	0.484314224003	0.9472023032309	yes
28	ENST00000517430.5	564	378	1.1357	0.489681423833	0.94031242891452	yes
29	ENST00000519434.1	524	318	0.7983	-0.0555234813472	0.072495976120937	no
30	ENST00000374332.8	4641	1893	1.1748	0.422438041983	0.9999999913709	yes
31	ENST00000263979.7	2627	1353	1.1646	0.404428236896	0.9999969523744	yes
32	ENST00000473891.1	3420	558	1.2324	0.376421024302	0.9834683857386	yes
33	ENST00000374329.1	2461	1206	1.2047	0.412982152142	0.99998768123931	yes
34	ENST00000496532.5	769	258	0.6129	0.0557339886744	0.044766761831901	no
35	ENST00000475314.5	893	552	1.1805	0.429913033429	0.98743862196711	yes
36	ENST00000487493.1	1145	306	1.165	0.306855515328	0.69600168243751	yes
37	ENST00000538789.5	1392	1116	0.7542	0.0927083323932	0.99895864463655	yes
38	ENST00000374298.4	2161	1074	0.7839	0.0940393887296	0.99844932181961	yes
39	ENST00000372584.5	12319	7218	0.7445	0.273518728393	1	yes
40	ENST00000372583.6	12617	7221	0.7445	0.273732864299	1	yes
41	ENST00000460604.1	2369	1893	0.7161	0.29500404619	0.99999992631663	yes
42	ENST00000491442.5	1731	213	0.5878	0.1148036806	0.035767761706231	no
43	ENST00000489103.5	1705	213	0.5878	0.1148036806	0.03582224788745	no
44	ENST00000479350.1	940	201	0.7582	0.0255439648244	0.031372720593102	no
45	ENST00000410048.5	500	321	1.0076	0.198311899375	0.45474216493795	yes
46	ENST00000409337.5	476	177	1.2259	0.408021380073	0.58261805965108	yes
47	ENST00000335282.5	536	405	1.2189	0.352394515664	0.91725976837517	yes
48	ENST00000410025.5	530	249	1.0175	0.239840581511	0.34152740298182	no
49	ENST00000409396.5	448	417	1.2552	0.350089817884	0.93336736843128	yes
50	ENST00000481753.1	365	81	0.6504	0.133329193455	0.013131970270693	no
51	ENST00000370473.5	2883	1779	1.2308	0.354613351261	0.99999996508946	yes
52	ENST00000484970.1	829	267	1.1389	0.171778711105	0.36633285214335	yes
53	ENST00000479889.1	566	477	1.1363	0.212065769193	0.88040449471644	yes
54	ENST00000495131.1	748	81	0.7821	-0.464304463011	0.0003800634790851	no
55	ENST00000459831.1	742	357	0.8343	0.199304866496	0.41460864282152	yes
56	ENST00000493139.1	518	192	1.2755	0.458826790856	0.7279875654992	yes
57	ENST00000469194.1	618	294	1.0775	0.381360643425	0.72062899919236	yes
58	ENST00000595518.5	738	51	0.6947	-0.25700683758	0.00082075049695577	no
59	ENST00000600340.5	692	75	0.6775	-0.00999781991084	0.00514089467155	no
60	ENST00000630257.2	824	36	0.893	-0.147625383404	0.002660352023664	no
61	ENST00000421764.1	287	54	0.7781	-0.207767113857	0.0015662405024158	no
62	ENST00000437207.1	222	30	0.5319	-0.148111348753	0.00083044511458717	no
63	ENST00000366105.2	377	219	0.4579	-0.202045873071	0.0035145445858281	no
64	ENST00000618462.4	8150	6723	1.2157	0.336328306928	1	yes
65	ENST00000617031.4	1542	603	1.2613	0.447898974303	0.99477518932443	yes
66	ENST00000621371.4	819	156	1.0689	0.0958554642579	0.078082654311063	no
67	ENST00000534536.5	647	558	1.2601	0.597397534304	0.99698219006827	yes
