# SignalP-5.0	Organism: Eukarya	Timestamp: 20210516120705
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000204517.11	OTHER	0.000353	0.999647	
ENST00000210633.3	SP(Sec/SPI)	0.963262	0.036738	CS pos: 17-18. ATA-VP. Pr: 0.5580
ENST00000216802.10	OTHER	0.000426	0.999574	
ENST00000216968.5	SP(Sec/SPI)	0.985306	0.014694	CS pos: 17-18. AFC-SQ. Pr: 0.6452
ENST00000223642.3	SP(Sec/SPI)	0.997660	0.002340	CS pos: 18-19. TWG-QE. Pr: 0.9821
ENST00000226218.9	SP(Sec/SPI)	0.999770	0.000230	CS pos: 19-20. ALA-DQ. Pr: 0.9175
ENST00000233668.9	OTHER	0.000663	0.999337	
ENST00000240364.7	OTHER	0.002415	0.997585	
ENST00000245414.9	OTHER	0.000395	0.999605	
ENST00000246190.10	OTHER	0.058161	0.941839	
ENST00000246532.6	SP(Sec/SPI)	0.999509	0.000491	CS pos: 22-23. PEA-SQ. Pr: 0.7561
ENST00000252797.6	OTHER	0.003070	0.996930	
ENST00000253110.16	OTHER	0.000436	0.999564	
ENST00000255465.7	OTHER	0.009288	0.990712	
ENST00000257245.9	OTHER	0.001270	0.998730	
ENST00000259455.4	SP(Sec/SPI)	0.981739	0.018261	CS pos: 41-42. AWG-WA. Pr: 0.6845
ENST00000260404.8	OTHER	0.000655	0.999345	
ENST00000260508.9	OTHER	0.001217	0.998783	
ENST00000261178.9	OTHER	0.000218	0.999782	
ENST00000261692.7	OTHER	0.007094	0.992906	
ENST00000262043.8	OTHER	0.000308	0.999692	
ENST00000262093.11	OTHER	0.005409	0.994591	
ENST00000262259.7	OTHER	0.000830	0.999170	
ENST00000263125.10	OTHER	0.004359	0.995641	
ENST00000263512.5	OTHER	0.356984	0.643016	
ENST00000263556.3	SP(Sec/SPI)	0.984832	0.015168	CS pos: 17-18. SLA-HP. Pr: 0.8664
ENST00000265164.7	OTHER	0.001162	0.998838	
ENST00000267838.7	OTHER	0.000496	0.999504	
ENST00000268058.8	OTHER	0.003707	0.996293	
ENST00000268059.10	OTHER	0.003707	0.996293	
ENST00000269973.10	OTHER	0.000244	0.999756	
ENST00000279451.9	OTHER	0.000455	0.999545	
ENST00000280749.5	OTHER	0.001020	0.998980	
ENST00000282018.4	OTHER	0.000380	0.999620	
ENST00000287380.6	OTHER	0.001140	0.998860	
ENST00000287899.13	OTHER	0.001682	0.998318	
ENST00000288207.7	OTHER	0.000523	0.999477	
ENST00000288383.10	OTHER	0.003411	0.996589	
ENST00000289119.7	OTHER	0.001509	0.998491	
ENST00000292599.4	OTHER	0.001058	0.998942	
ENST00000295757.8	OTHER	0.000235	0.999765	
ENST00000295767.9	OTHER	0.003146	0.996854	
ENST00000298999.7	OTHER	0.000719	0.999281	
ENST00000299179.9	OTHER	0.000656	0.999344	
ENST00000307116.6	SP(Sec/SPI)	0.984832	0.015168	CS pos: 17-18. SLA-HP. Pr: 0.8664
ENST00000308197.9	OTHER	0.067213	0.932787	
ENST00000308696.11	OTHER	0.001064	0.998936	
ENST00000311001.9	OTHER	0.000404	0.999596	
ENST00000312189.10	OTHER	0.000807	0.999193	
ENST00000312419.8	OTHER	0.001306	0.998694	
ENST00000312499.6	OTHER	0.000697	0.999303	
ENST00000313070.11	OTHER	0.000316	0.999684	
ENST00000314088.6	OTHER	0.000762	0.999238	
ENST00000314594.6	OTHER	0.000719	0.999281	
ENST00000315588.11	OTHER	0.000853	0.999147	
ENST00000316881.9	OTHER	0.002858	0.997142	
ENST00000317338.17	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000318325.6	OTHER	0.000656	0.999344	
ENST00000318364.12	OTHER	0.000656	0.999344	
ENST00000319017.5	OTHER	0.022369	0.977631	
ENST00000319332.10	SP(Sec/SPI)	0.996919	0.003081	CS pos: 24-25. LWG-GP. Pr: 0.9675
ENST00000319921.4	OTHER	0.002428	0.997572	
ENST00000320474.10	OTHER	0.004962	0.995038	
ENST00000321169.10	OTHER	0.000668	0.999332	
ENST00000321196.8	SP(Sec/SPI)	0.720964	0.279036	CS pos: 21-22. LSA-DF. Pr: 0.3629
ENST00000322831.6	OTHER	0.000563	0.999437	
ENST00000325333.10	OTHER	0.002666	0.997334	
ENST00000327098.9	OTHER	0.001140	0.998860	
ENST00000329886.11	OTHER	0.155626	0.844374	
ENST00000335960.10	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000336755.9	OTHER	0.000676	0.999324	
ENST00000336930.11	SP(Sec/SPI)	0.628941	0.371059	CS pos: 19-20. VLS-TR. Pr: 0.2969
ENST00000338696.6	OTHER	0.008865	0.991135	
ENST00000339145.8	SP(Sec/SPI)	0.998133	0.001867	CS pos: 23-24. VEA-GE. Pr: 0.9490
ENST00000340004.6	OTHER	0.000663	0.999337	
ENST00000341298.3	SP(Sec/SPI)	0.640522	0.359478	CS pos: 27-28. ALG-LE. Pr: 0.2992
ENST00000341558.3	OTHER	0.001876	0.998124	
ENST00000342071.5	OTHER	0.000656	0.999344	
ENST00000342697.5	OTHER	0.000797	0.999203	
ENST00000343075.7	OTHER	0.001614	0.998386	
ENST00000344697.3	OTHER	0.236953	0.763047	
ENST00000345728.9	OTHER	0.000607	0.999393	
ENST00000349264.10	SP(Sec/SPI)	0.879315	0.120685	CS pos: 17-18. LSG-LE. Pr: 0.2036
ENST00000350060.10	OTHER	0.000303	0.999697	
ENST00000352035.7	OTHER	0.000658	0.999342	
ENST00000352981.7	OTHER	0.005556	0.994444	
