"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","codingPotentialValue","codingPotential","domain_identified","idr_identified","signal_peptide_identified","IR","switchConsequencesGene"
"97146","isoComp_00042970","geneComp_00015986","ENST00000374211.5","CRYBG2","UU","TU","CRYBG2","protein_coding","processed_transcript",1.80676062485427,1.30666850500728,2.30685274470125,0.564090199835821,1.24967293619848,0.815274184954852,NA,0.58075143514075,0.162154132830534,0.999348737450967,0.0828996210474189,0.577599577678053,2.55165200177965,NA,0.398333333333333,0.082,0.714666666666667,0.632666666666667,0.025390436657514,0.025390436657514,NA,0.90137307215881,TRUE,NA,NA,NA,0,TRUE
"21457","isoComp_00063441","geneComp_00019459","ENST00000447366.5","GPR143","UU","TU","GPR143","protein_coding","protein_coding",1.57581981536381,1.47410385131767,1.67753577940994,0.598058773267851,0.625404666584351,0.185326041549155,NA,0.284447388928767,0,0.568894777857534,0,0.159214170836006,5.85522923712867,NA,0.28,0,0.56,0.56,0.00364433646459628,0.00364433646459628,FALSE,0.99572901184334,TRUE,"yes","no","no",0,TRUE
"95728","isoComp_00127215","geneComp_00033005","ENST00000357440.7","SLC29A2","UU","TU","SLC29A2","protein_coding","protein_coding",2.42897705340736,2.39390658065299,2.46404752616174,0.445842524820235,0.336123356039183,0.0414923826961027,NA,0.940176985232254,1.52576629014363,0.354587680320877,0.222308749890597,0.340669494227377,-2.07462096869001,NA,0.584,0.855666666666667,0.312333333333333,-0.543333333333333,0.0145726853772343,6.82891085530749e-05,FALSE,0.99999923146315,TRUE,"yes","no","no",0,TRUE
"23580","isoComp_00055219","geneComp_00017908","ENST00000558514.1","FAH","UU","TU","FAH","protein_coding","retained_intron",2.37453378237532,1.38560993210111,3.36345763264953,0.149574221840208,1.37934734770369,1.27333227323061,NA,0.934766918627767,0,1.86953383725553,0,0.724949780089202,7.55423107823431,NA,0.2615,0,0.523,0.523,9.01645521661704e-08,9.01645521661704e-08,NA,0.04582746257113,FALSE,NA,NA,NA,0,TRUE
"78796","isoComp_00103329","geneComp_00027882","ENST00000621990.4","PDPN","UU","TU","PDPN","protein_coding","protein_coding",2.39381942856608,1.19766999128032,3.58996886585185,0.872984764015003,2.88734772170792,1.57575815284071,NA,0.66519559106631,0.759160721857216,0.571230460275403,0.466230279223307,0.312466398794277,-0.404174779951251,NA,0.609833333333333,0.848666666666667,0.371,-0.477666666666667,0.0219174901055114,0.0219174901055114,FALSE,0.95017945606817,TRUE,"yes","yes","yes",0,TRUE
"102966","isoComp_00041082","geneComp_00015678","ENST00000651438.1","COL18A1","UU","TU","COL18A1","protein_coding","protein_coding",2.29633121144904,1.73498889035127,2.85767353254681,0.677497248533551,2.16625556725431,0.716662939800125,NA,1.88804419503353,0.989496366724906,2.78659202334216,0.556651831356382,2.1217662261949,1.48439657600634,NA,0.485666666666667,0.251,0.720333333333333,0.469333333333333,4.10405261900527e-05,4.10405261900527e-05,FALSE,1,TRUE,"yes","yes","yes",0,TRUE
"142112","isoComp_00035082","geneComp_00014726","ENST00000539135.1","CCND2-AS1","UU","TU","CCND2-AS1","lncRNA","lncRNA",1.60159730013842,1.52528067038768,1.67791392988916,0.656515208050807,0.653013466879927,0.136738915842212,NA,0.211577271802793,0.423154543605586,0,0.0695130066048907,0,-5.43680994550735,NA,0.282333333333333,0.512333333333333,0.0523333333333333,-0.46,0.00274633019563295,0.00274633019563295,NA,0.064954030469319,FALSE,NA,NA,NA,0,FALSE
"135450","isoComp_00134684","geneComp_00034353","ENST00000404752.5","STON1","UU","TU","STON1","protein_coding","protein_coding",1.81325083071835,1.618094005673,2.0084076557637,0.119562587129035,0.261166585224614,0.310033580739119,NA,0.854048971610332,1.11994310363967,0.588154839580997,0.0563374224910678,0.112480744699181,-0.917659233157451,NA,0.5905,0.814333333333333,0.366666666666667,-0.447666666666667,0.00213754525728319,0.00213754525728319,FALSE,0.9999999901581,TRUE,"yes","no","no",0,FALSE
"144181","isoComp_00051408","geneComp_00017322","ENST00000560381.1","EFL1P1","UU","TU","EFL1P1","transcribed_unprocessed_pseudogene","processed_transcript",1.48713715929743,1.85125459827255,1.12301972032231,0.62561699056986,0.278761425187697,-0.716102441393867,NA,0.4969342056167,0.934367717477946,0.0595006937554552,0.273305376926019,0.0319689356488729,-3.76424944093831,NA,0.414333333333333,0.632,0.196666666666667,-0.435333333333333,0.00129224502383839,0.00129224502383839,NA,0.71903654166318,FALSE,NA,NA,NA,0,TRUE
"95730","isoComp_00127217","geneComp_00033005","ENST00000541567.5","SLC29A2","UU","TU","SLC29A2","protein_coding","nonsense_mediated_decay",2.42897705340736,2.39390658065299,2.46404752616174,0.445842524820235,0.336123356039183,0.0414923826961027,NA,0.404496437079678,0,0.808992874159357,0,0.0253683964146318,6.35577899429982,NA,0.2095,0,0.419,0.419,6.82891085530749e-05,6.82891085530749e-05,TRUE,0.99995559403938,TRUE,"no","no","no",0,TRUE
