#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000396634.5	366	0.45521	5.65521240234	1	1	coding
ENST00000376809.10	366	0.48752	5.65521240234	1	1	coding
ENST00000496081.5	284	0.43258	6.07843017578	1	0.999994	coding
ENST00000376802.2	300	0.45522	5.42315673828	1	0.999999	coding
ENST00000479320.5	243	0.33329	5.66473388672	-1	0.263225	noncoding
ENST00000461903.1	249	0.33025	5.67340087891	-1	0.277534	noncoding
ENST00000652520.1	377	0.42542	9.57611083984	1	0.999999	coding
ENST00000258704.3	337	0.41202	9.52264404297	1	0.999991	coding
ENST00000392806.4	284	0.41592	4.50079345703	1	0.999998	coding
ENST00000549031.1	140	0.43834	7.83050537109	-1	0.105196	noncoding
ENST00000549447.1	78	0.39002	10.760559082	1	0.118741	noncoding
ENST00000547567.1	28	0.36314	5.58770751953	-1	0.0189151	noncoding
ENST00000406925.6	195	0.28091	9.14080810547	1	0.631095	coding
ENST00000498605.1	82	0.37924	4.85711669922	1	0.242908	noncoding
ENST00000442995.3	130	0.32201	4.90252685547	1	0.71767	coding
ENST00000624534.1	45	0.39436	10.3119506836	1	0.0307342	noncoding
ENST00000622934.3	63	0.36279	9.23663330078	1	0.0417198	noncoding
ENST00000619874.4	59	0.40458	9.86859130859	1	0.0598198	noncoding
ENST00000612624.4	69	0.34599	9.49407958984	1	0.0482651	noncoding
ENST00000624304.3	96	0.38002	11.7069702148	1	0.159086	noncoding
ENST00000624758.3	91	0.37205	11.6100463867	1	0.12739	noncoding
ENST00000623661.1	77	0.35573	10.2844848633	1	0.077798	noncoding
ENST00000382734.9	132	0.319	8.81695556641	1	0.316069	noncoding
ENST00000415709.5	107	0.3955	8.75665283203	1	0.361552	noncoding
ENST00000354451.6	97	0.35841	8.31390380859	1	0.16116	noncoding
ENST00000509460.2	92	0.45897	11.383972168	1	0.490473	noncoding
ENST00000609084.1	73	0.33828	7.64544677734	1	0.046124	noncoding
ENST00000609513.1	120	0.28842	9.18280029297	1	0.154795	noncoding
ENST00000316084.10	264	0.41376	10.1616821289	1	0.99944	coding
ENST00000373626.4	123	0.46534	10.0629272461	1	0.861019	coding
