"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"19","ENST00000619874.4",1,"7745039","7745650",0,NA,NA,0,NA,NA,0,NA,NA,2,"7748987;7755118","7749394;7756113",0,NA,NA,1,"7744962","7744975",1,"7758627;7769187;7771567;7774199;7777668","7758629;7769375;7772253;7774588;7777853"
"3","ENST00000415709.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25448105","25448284",1,"25459976;25509183;25510037;25510629;25519923;25520682","25461678;25509342;25510070;25511628;25520162;25520854"
"16","ENST00000316084.10",1,"72274255","72274435",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"14","ENST00000442995.3",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"43796142;43800311","43800148;43800423",0,NA,NA
"2","ENST00000382734.9",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25459515","25459681",1,"25459976","25460867",0,NA,NA,1,"25509183;25510037;25510629;25519923;25520682","25509342;25510070;25511628;25520162;25520854"
"17","ENST00000373626.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"72272042;72273232;72273801","72272772;72273389;72273972"
"28","ENST00000547567.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"108594164","108594337",0,NA,NA,1,"108598245","108598320",1,"108589851","108592300"
"26","ENST00000652520.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"44000889","44001066",0,NA,NA,1,"44008858","44010122"
"8","ENST00000376809.10",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"29944616","29944634",0,NA,NA,1,"29941260;29941966;29942404","29941319;29942096;29942532",1,"29945870","29945884"
"5","ENST00000609084.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25448105;25455712;25457259;25459416","25448284;25455840;25457401;25459681",1,"25461668;25509183;25510037;25510629;25519923;25520682","25461678;25509342;25510070;25511628;25520162;25520854"
"1","ENST00000354451.6",1,"25459976","25461678",0,NA,NA,0,NA,NA,0,NA,NA,1,"25459515","25459681",0,NA,NA,1,"25448105;25455712","25448284;25455718",1,"25519923;25520682","25520162;25520854"
"6","ENST00000609513.1",0,NA,NA,0,NA,NA,0,NA,NA,1,25520163,25520681,0,NA,NA,0,NA,NA,1,"25448105;25455712;25457259;25459416;25459976;25509183;25510037;25510629","25448284;25455840;25457401;25459681;25461678;25509342;25510070;25511628",1,"25520853","25520854"
