"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"1221","ENST00000417221.8",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"91022619","91022622",1,"91023701;91029881;91030659;91032417;91034918","91023971;91030241;91031140;91032527;91036611"
"1146","ENST00000543496.3",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"82363206;82363646","82363539;82363908",1,"82367417","82367420"
"310","ENST00000361530.11",1,"26182005","26182082",0,NA,NA,0,NA,NA,0,NA,NA,2,"26180896;26183414","26181083;26183435",4,"26180168;26181587;26186915;26187293","26180453;26181857;26187168;26187411",1,"26177484","26177491",0,NA,NA
"900","ENST00000312499.6",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"11249627;11295216;11312829;11316141;11345450","11249778;11295294;11312937;11317036;11345459",1,"11379822;11380798","11379887;11381662"
"1223","ENST00000556904.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"91023594","91023971",1,"91029881","91030131",0,NA,NA,1,"91030706;91032417;91034918","91031140;91032527;91036611"
"897","ENST00000506682.5",0,NA,NA,0,NA,NA,0,NA,NA,1,"97947402","97947415",0,NA,NA,0,NA,NA,1,"97950786;97952152;97954007;97959051;97961589;97967162;97971914;97972381","97951183;97952252;97954495;97959179;97961708;97967632;97972087;97972431",1,"97941818","97944406"
"452","ENST00000447366.5",1,"9747833","9748073",0,NA,NA,1,"9765568;9766120","9765847;9766189",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"9725346;9738229;9739485","9725840;9738585;9739552"
"202","ENST00000367393.8",1,"197905517","197905539",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"197907362","197907367"
"659","ENST00000404774.7",1,"4909729","4909778",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"4959212","4959213",0,NA,NA
"311","ENST00000374253.9",1,"26182005","26182082",0,NA,NA,0,NA,NA,0,NA,NA,1,"26180896","26181083",4,"26180168;26181587;26186915;26187293","26180453;26181857;26187168;26187411",1,"26177484","26177509",0,NA,NA
