Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	ENST00000624697.4	787	474	1.2516	0.648697862393	0.99448920473714	yes
1	ENST00000624652.1	657	429	1.2516	0.706168516646	0.99391808253429	yes
2	ENST00000649529.1	637	498	1.2516	0.656344401577	0.9959885959046	yes
3	ENST00000378230.8	6431	2778	1.0185	0.251483562164	0.9999999999966	yes
4	ENST00000484420.1	458	366	0.7964	0.169524558654	0.36676988899515	yes
5	ENST00000438539.5	683	348	0.7928	0.282829396759	0.49560187216389	yes
6	ENST00000461667.1	926	267	0.6597	0.228717372057	0.15662464353706	no
7	ENST00000495701.1	485	390	1.2403	0.303780825336	0.88004690979639	yes
8	ENST00000460038.5	696	405	0.9782	0.0705947534783	0.44500675705028	yes
9	ENST00000494653.5	2174	1665	0.9917	0.22051450089	0.99999941072512	yes
10	ENST00000443466.1	430	348	1.1074	0.442303757235	0.88484650117888	yes
11	ENST00000494951.1	390	384	0.9183	0.0578495741571	0.33143888763136	no
12	ENST00000378223.3	1121	735	0.8438	0.145346845579	0.96746786237908	yes
13	ENST00000481077.6	865	192	1.2533	-0.0664944000104	0.070778584136884	no
14	ENST00000361530.11	2535	2142	1.0345	0.377074188991	0.99999999892159	yes
15	ENST00000465415.1	624	417	1.1651	0.317122449322	0.89361046684581	yes
16	ENST00000374253.9	2538	2163	1.0712	0.380049466775	0.99999999924899	yes
17	ENST00000525687.5	1200	939	1.2715	0.366899654529	0.99977514844953	yes
18	ENST00000531191.5	2673	1368	0.8745	0.357547278383	0.99999118914793	yes
19	ENST00000524529.6	562	105	0.8811	-0.232063334869	0.0031424515503314	no
20	ENST00000531150.5	581	156	1.1416	0.236026155436	0.21410663212163	no
21	ENST00000480617.1	467	132	1.208	-0.150762133409	0.019878658009736	no
22	ENST00000484874.2	642	147	0.7337	-0.00536600831504	0.013697665485185	no
23	ENST00000339145.8	822	417	1.186	0.436684466023	0.95125638204662	yes
24	ENST00000361157.11	812	393	1.1893	0.442313474932	0.94046833889737	yes
25	ENST00000362020.4	828	405	1.2234	0.440710170973	0.95190070864893	yes
26	ENST00000657086.1	1776	132	0.5368	-0.144767567406	0.0023598145844036	no
27	ENST00000623351.1	482	87	0.3995	-0.284624528003	0.00040567429361811	no
28	ENST00000607988.5	454	114	0.4382	-0.133594028398	0.0016634879061524	no
29	ENST00000609636.5	456	168	0.5806	0.0318080990581	0.013734818755349	no
30	ENST00000626430.1	596	192	0.6428	-0.0593028725388	0.011784248256993	no
31	ENST00000656061.1	2292	183	0.8731	-0.396091990464	0.0021730191397403	no
32	ENST00000447959.1	760	165	0.7043	-0.087996542039	0.0087733095641148	no
33	ENST00000630008.2	830	192	0.7423	0.0152950261365	0.025625883191418	no
34	ENST00000627999.1	756	210	0.7304	0.0860682788087	0.047011913922325	no
35	ENST00000625982.1	921	177	0.4176	-0.301146262732	0.00099142804630605	no
36	ENST00000661174.1	439	102	0.627	0.263210738451	0.035130614820098	no
37	ENST00000493985.5	810	225	1.0548	0.363556846992	0.50026209574431	yes
38	ENST00000371975.9	3078	2244	0.9646	0.312893536627	0.99999999929599	yes
39	ENST00000469835.6	670	630	1.0294	0.228609691762	0.96824686117835	yes
40	ENST00000493032.5	627	225	1.0548	0.363556846992	0.50303993139499	yes
41	ENST00000487700.1	472	93	0.5695	-0.205561692507	0.001244300421025	no
42	ENST00000668565.1	238	51	1.1992	-0.272294255518	0.0037213864780201	no
43	ENST00000472889.2	767	498	1.1533	0.298900648597	0.94468687096332	yes
44	ENST00000473251.2	834	597	1.0985	0.20108380181	0.95631667077851	yes
45	ENST00000476687.2	574	219	1.0062	0.331005073661	0.39720792266382	yes
46	ENST00000664182.1	754	294	0.6937	-0.0277093604764	0.048919680583898	no
47	ENST00000661701.1	1467	921	0.9646	0.419189756018	0.99948457369578	yes
48	ENST00000488942.5	1121	810	0.9107	0.42595311647	0.99810419743349	yes
49	ENST00000459678.2	775	468	0.9648	0.474014331489	0.95593094934443	yes
50	ENST00000287899.13	5777	744	0.95	0.285623843225	0.98864750594796	yes
51	ENST00000420054.5	3415	618	1.0855	0.120293788523	0.92970692983925	yes
52	ENST00000490863.5	5643	504	1.0563	0.255531202439	0.88241862076149	yes
53	ENST00000528287.5	2642	504	1.0563	0.255531202439	0.90004747760419	yes
54	ENST00000493530.2	602	459	1.1164	0.338685229283	0.92909984285086	yes
55	ENST00000462299.1	455	57	1.0096	-0.184067654551	0.0038668567889672	no
56	ENST00000497820.1	679	417	0.879	0.285008675432	0.73377902603136	yes
57	ENST00000446900.6	1937	873	0.7669	0.0371344135697	0.97974394094132	yes
58	ENST00000370491.7	1868	1263	0.8766	0.0564935687164	0.99981071647705	yes
59	ENST00000260508.9	1815	1365	0.8737	0.0413653576612	0.99993015000088	yes
60	ENST00000370486.1	1019	786	0.8785	0.0197584957861	0.96194329695708	yes
61	ENST00000370238.8	4883	825	0.8811	0.154797151977	0.98683151091868	yes
62	ENST00000615724.1	3008	759	0.8865	0.177630214154	0.97985935281426	yes
63	ENST00000467772.1	625	360	0.8757	0.0538587015807	0.24312352271972	no
64	ENST00000462183.1	583	63	1.0888	-0.0368687975974	0.013739775059855	no
65	ENST00000618721.4	2823	1356	1.1796	0.368441799894	0.99999638787112	yes
66	ENST00000404129.6	2834	1356	1.1796	0.368441799894	0.99999638545777	yes
67	ENST00000527748.5	4921	1356	1.1796	0.368441799894	0.9999958971399	yes
