# SignalP-6.0	Organism: Eukarya	Timestamp: 20220625175113
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ENST00000258704.3	NO_SP	1.000050	0.000011	
ENST00000316084.10	NO_SP	1.000039	0.000000	
ENST00000376802.2	SP	0.000303	0.999681	CS pos: 24-25. Pr: 0.9720
ENST00000376809.10	SP	0.000303	0.999676	CS pos: 24-25. Pr: 0.9720
ENST00000392806.4	SP	0.000230	0.999767	CS pos: 25-26. Pr: 0.9682
ENST00000396634.5	SP	0.000303	0.999665	CS pos: 24-25. Pr: 0.9720
ENST00000406925.6	NO_SP	1.000056	0.000000	
ENST00000442995.3	NO_SP	1.000061	0.000000	
ENST00000547567.1	NO_SP	0.904611	0.095388	
ENST00000549031.1	SP	0.000230	0.999765	CS pos: 25-26. Pr: 0.9682
ENST00000549447.1	SP	0.000641	0.999336	CS pos: 25-26. Pr: 0.9583
ENST00000612624.4	NO_SP	0.999776	0.000244	
ENST00000619874.4	NO_SP	1.000034	0.000000	
ENST00000622934.3	NO_SP	1.000034	0.000000	
ENST00000623661.1	NO_SP	1.000037	0.000000	
ENST00000624304.3	NO_SP	1.000034	0.000000	
ENST00000624758.3	NO_SP	1.000035	0.000000	
ENST00000652520.1	NO_SP	1.000066	0.000000	
