Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	ENST00000376637.7	1067	336	1.0467	-0.139824506899	0.10308028978435	no
1	ENST00000476512.5	942	315	1.0729	0.473601907518	0.85189245811239	yes
2	ENST00000400895.6	786	444	1.0644	-0.0846160244342	0.36386909331855	no
3	ENST00000494437.1	976	126	0.8051	-0.196720140449	0.0038220712804503	no
4	ENST00000314340.10	1130	480	1.1831	0.447409245079	0.97576307556936	yes
5	ENST00000376629.8	1100	459	1.118	0.447199467487	0.96317976524897	yes
6	ENST00000376627.6	1055	480	1.015	-0.0823864170419	0.41916203319419	yes
7	ENST00000452018.6	809	468	1.0644	-0.0969868178418	0.40559549295163	yes
8	ENST00000510878.1	849	468	0.8206	-0.000553811040075	0.37426884993659	yes
9	ENST00000513739.5	566	246	1.097	0.570620713731	0.85102056857639	yes
10	ENST00000471765.1	717	312	1.0729	0.470072644951	0.8465047880263	yes
11	ENST00000374490.8	1570	978	1.1606	0.306207142828	0.99968095955853	yes
12	ENST00000436439.6	1354	765	1.1016	0.313542150306	0.99639977798176	yes
13	ENST00000235958.4	1101	486	1.1197	0.351225713783	0.94920018146496	yes
14	ENST00000509389.5	1379	609	1.0154	0.28493878882	0.96997742597181	yes
15	ENST00000496907.1	858	312	0.9345	0.217383763327	0.40027334271034	yes
16	ENST00000513148.1	2011	621	1.1084	0.209529742232	0.96646341678666	yes
17	ENST00000479458.1	594	69	0.8381	-0.102527523024	0.0043612802198871	no
18	ENST00000498698.1	463	156	0.9946	-0.068179278477	0.022675142780149	no
19	ENST00000413987.1	2201	156	0.8821	0.0757051413968	0.036524677114446	no
20	ENST00000447507.1	185	45	0.889	-0.562904114361	0.00019448659302426	no
21	ENST00000437681.1	2614	258	1.0641	-0.184322011095	0.034229977920144	no
22	ENST00000421153.2	266	6	0.5841	-3.18075867159	1.5178020136654E-12	no
23	ENST00000574792.1	715	96	0.7271	-0.401834138593	0.00056905550675902	no
24	ENST00000373534.4	1026	807	1.206	0.408972108596	0.9991378775967	yes
25	ENST00000470166.5	531	192	1.2588	0.616214794868	0.87764574172091	yes
26	ENST00000459874.5	539	192	1.2588	0.616214794868	0.87759357070508	yes
27	ENST00000373467.4	1412	582	1.2853	0.721979526183	0.99900815932064	yes
28	ENST00000470896.1	503	201	0.8507	0.129598459017	0.081229181382206	no
29	ENST00000663032.1	675	288	0.8017	0.0537516530575	0.10430140455301	no
30	ENST00000667635.1	1172	204	0.8646	0.193139609362	0.12230862242523	no
31	ENST00000433671.2	630	288	0.8017	0.0537516530575	0.10455694249894	no
32	ENST00000456813.1	441	237	1.0972	0.148889456544	0.24399175687282	no
33	ENST00000443161.1	424	138	1.026	-0.140962251854	0.012898259776707	no
34	ENST00000360380.7	5225	3864	0.9135	-0.00291577909901	1	yes
35	ENST00000337817.9	5087	3726	0.9135	-0.00185473222437	1	yes
36	ENST00000371877.7	5009	3867	0.9135	-0.00234404981192	1	yes
37	ENST00000396221.6	4558	3813	0.9135	-0.00172534610918	1	yes
38	ENST00000418131.1	3417	1773	1.0216	-0.00393340702155	0.99999920791812	yes
39	ENST00000433827.2	541	294	0.6997	-0.085974844248	0.034880337217293	no
40	ENST00000413565.1	542	276	0.6054	-0.102082919878	0.019500180301621	no
41	ENST00000317868.9	2944	1377	0.8118	-0.0182836869962	0.99988167570267	yes
42	ENST00000371120.7	2890	1377	0.8118	-0.0182836869962	0.99988206298348	yes
43	ENST00000371118.1	665	567	0.6555	-0.0638356363137	0.40879033122602	yes
44	ENST00000414558.2	464	267	1.0757	0.0176874449714	0.14908822486988	no
45	ENST00000487806.5	557	69	0.7048	-0.109080920767	0.0027580681667898	no
46	ENST00000370645.9	806	294	0.7269	0.130565670304	0.13928268491424	no
47	ENST00000370641.3	920	294	0.7269	0.130565670304	0.13845493513358	no
48	ENST00000355754.7	6141	1923	1.1747	0.313203361567	0.9999999859391	yes
49	ENST00000471938.1	768	144	0.8417	0.0469372974848	0.025776879146384	no
50	ENST00000481397.1	457	399	1.1901	0.19742653608	0.77416057379128	yes
51	ENST00000449440.5	763	309	0.9118	0.226048525493	0.39052480126045	yes
52	ENST00000640258.1	8034	2412	1.0603	0.157941436526	0.99999999968147	yes
53	ENST00000639264.1	7736	2412	1.0603	0.157941436526	0.99999999968718	yes
54	ENST00000330947.6	7593	2412	1.0603	0.157941436526	0.99999999968988	yes
55	ENST00000439853.5	7474	2412	1.0603	0.157941436526	0.99999999969212	yes
56	ENST00000578186.2	583	312	1.04	0.569366338126	0.90617439983506	yes
57	ENST00000618193.1	1547	312	1.04	0.569366338126	0.90107810755442	yes
58	ENST00000614272.1	942	312	1.04	0.569366338126	0.90430460563787	yes
59	ENST00000613412.1	610	312	1.04	0.569366338126	0.90603492129479	yes
60	ENST00000258302.8	5606	597	0.9023	0.21958109485	0.90904668821909	yes
61	ENST00000483095.6	1432	543	1.0718	0.229663518432	0.92895769760799	yes
62	ENST00000367557.8	859	543	1.0718	0.229663518432	0.93121979932794	yes
63	ENST00000367556.5	843	543	1.0718	0.229663518432	0.93128199712306	yes
64	ENST00000491420.6	781	216	0.6357	0.0875837481598	0.037928490459874	no
65	ENST00000508450.5	563	171	0.5938	0.117104820675	0.025495877330585	no
66	ENST00000515211.1	566	159	1.1572	0.142648753615	0.1377023385236	no
