# SignalP-5.0	Organism: Eukarya	Timestamp: 20210516170757
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000012049.10	OTHER	0.039310	0.960690	
ENST00000072516.7	SP(Sec/SPI)	0.962803	0.037197	CS pos: 20-21. SDA-SE. Pr: 0.8583
ENST00000169298.8	OTHER	0.397340	0.602660	
ENST00000195173.8	SP(Sec/SPI)	0.945575	0.054425	CS pos: 26-27. SSS-QD. Pr: 0.6818
ENST00000209884.5	OTHER	0.000970	0.999030	
ENST00000216802.10	OTHER	0.000426	0.999574	
ENST00000220597.4	OTHER	0.005588	0.994412	
ENST00000220659.11	OTHER	0.001386	0.998614	
ENST00000244519.7	SP(Sec/SPI)	0.886365	0.113635	CS pos: 29-30. CSA-QF. Pr: 0.7621
ENST00000245222.9	OTHER	0.001559	0.998441	
ENST00000245414.9	OTHER	0.000395	0.999605	
ENST00000246100.3	OTHER	0.001016	0.998984	
ENST00000246535.4	OTHER	0.036628	0.963372	
ENST00000249066.10	OTHER	0.000202	0.999798	
ENST00000250457.9	OTHER	0.001020	0.998980	
ENST00000251269.9	OTHER	0.004129	0.995871	
ENST00000251943.8	OTHER	0.004118	0.995882	
ENST00000252229.7	SP(Sec/SPI)	0.990555	0.009445	CS pos: 22-23. AAA-AE. Pr: 0.6462
ENST00000256999.7	OTHER	0.001184	0.998816	
ENST00000257245.9	OTHER	0.001270	0.998730	
ENST00000257497.11	OTHER	0.000507	0.999493	
ENST00000258415.9	OTHER	0.001178	0.998822	
ENST00000259395.4	OTHER	0.000379	0.999621	
ENST00000259746.13	OTHER	0.126565	0.873435	
ENST00000259874.6	OTHER	0.001080	0.998920	
ENST00000260049.9	SP(Sec/SPI)	0.912720	0.087280	CS pos: 30-31. VRA-TP. Pr: 0.7775
ENST00000261226.9	OTHER	0.000887	0.999113	
ENST00000261249.7	OTHER	0.010335	0.989665	
ENST00000261835.8	SP(Sec/SPI)	0.765615	0.234385	CS pos: 25-26. VHR-AR. Pr: 0.1687
ENST00000262291.9	OTHER	0.000782	0.999218	
ENST00000262580.9	OTHER	0.001426	0.998574	
ENST00000262961.9	OTHER	0.006551	0.993449	
ENST00000263119.10	OTHER	0.000890	0.999110	
ENST00000263666.9	OTHER	0.001203	0.998797	
ENST00000263979.7	OTHER	0.001499	0.998501	
ENST00000264568.8	OTHER	0.011141	0.988859	
ENST00000265447.8	OTHER	0.006243	0.993757	
ENST00000265460.9	OTHER	0.003917	0.996083	
ENST00000269025.9	OTHER	0.000669	0.999331	
ENST00000269209.7	OTHER	0.002536	0.997464	
ENST00000270617.8	OTHER	0.000533	0.999467	
ENST00000272198.10	OTHER	0.001991	0.998009	
ENST00000277549.9	OTHER	0.004287	0.995713	
ENST00000277551.6	OTHER	0.004287	0.995713	
ENST00000278836.9	OTHER	0.001199	0.998801	
ENST00000278968.10	OTHER	0.000816	0.999184	
ENST00000280606.6	SP(Sec/SPI)	0.989492	0.010508	CS pos: 23-24. LQA-AQ. Pr: 0.6745
ENST00000281416.11	OTHER	0.000461	0.999539	
ENST00000282272.15	OTHER	0.000801	0.999199	
ENST00000282633.10	OTHER	0.000806	0.999194	
ENST00000285689.8	OTHER	0.001169	0.998831	
ENST00000288383.10	OTHER	0.003411	0.996589	
ENST00000289316.2	OTHER	0.001153	0.998847	
ENST00000290363.6	OTHER	0.001917	0.998083	
ENST00000292090.8	OTHER	0.071575	0.928425	
ENST00000292599.4	OTHER	0.001058	0.998942	
ENST00000295706.8	OTHER	0.001991	0.998009	
ENST00000295901.8	OTHER	0.000460	0.999540	
ENST00000299576.9	OTHER	0.001041	0.998959	
ENST00000301244.12	SP(Sec/SPI)	0.993377	0.006623	CS pos: 27-28. VLA-AD. Pr: 0.8929
ENST00000302327.4	OTHER	0.002292	0.997708	
