# SignalP-5.0	Organism: Eukarya	Timestamp: 20210530171911
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000011473.6	OTHER	0.002500	0.997500	
ENST00000155674.9	OTHER	0.027730	0.972270	
ENST00000193403.10	OTHER	0.000382	0.999618	
ENST00000215980.10	OTHER	0.002757	0.997243	
ENST00000216027.8	OTHER	0.134987	0.865013	
ENST00000216420.12	OTHER	0.001423	0.998577	
ENST00000216780.9	OTHER	0.003325	0.996675	
ENST00000221138.9	OTHER	0.000408	0.999592	
ENST00000221943.13	OTHER	0.000786	0.999214	
ENST00000224807.9	OTHER	0.000269	0.999731	
ENST00000225726.10	SP(Sec/SPI)	0.995772	0.004228	CS pos: 20-21. SEA-KF. Pr: 0.9015
ENST00000225873.9	OTHER	0.000791	0.999209	
ENST00000227495.10	OTHER	0.397956	0.602044	
ENST00000233596.8	OTHER	0.000353	0.999647	
ENST00000239007.11	OTHER	0.000213	0.999787	
ENST00000242770.9	OTHER	0.000612	0.999388	
ENST00000243878.9	OTHER	0.001070	0.998930	
ENST00000245932.11	OTHER	0.000878	0.999122	
ENST00000246166.3	OTHER	0.000580	0.999420	
ENST00000251334.6	OTHER	0.003365	0.996635	
ENST00000255559.7	OTHER	0.091174	0.908826	
ENST00000256442.10	OTHER	0.000418	0.999582	
ENST00000256496.8	OTHER	0.005651	0.994349	
ENST00000257981.7	OTHER	0.001775	0.998225	
ENST00000258302.8	OTHER	0.001265	0.998735	
ENST00000258499.8	OTHER	0.003912	0.996088	
ENST00000259234.10	OTHER	0.000415	0.999585	
ENST00000259235.7	OTHER	0.002672	0.997328	
ENST00000260599.10	OTHER	0.092494	0.907506	
ENST00000261622.5	OTHER	0.004765	0.995235	
ENST00000261692.7	OTHER	0.007094	0.992906	
ENST00000261881.9	OTHER	0.000965	0.999035	
ENST00000262207.9	OTHER	0.341499	0.658501	
ENST00000262376.11	OTHER	0.000510	0.999490	
ENST00000262585.6	OTHER	0.001953	0.998047	
ENST00000263088.11	OTHER	0.000939	0.999061	
ENST00000264775.9	OTHER	0.206331	0.793669	
ENST00000265465.8	OTHER	0.000527	0.999473	
ENST00000267620.14	SP(Sec/SPI)	0.998702	0.001298	CS pos: 25-26. AQA-QC. Pr: 0.5345
ENST00000271751.10	OTHER	0.002045	0.997955	
ENST00000280614.4	OTHER	0.003510	0.996490	
ENST00000282561.4	OTHER	0.425167	0.574833	
ENST00000283429.10	OTHER	0.006101	0.993899	
ENST00000283632.5	OTHER	0.000418	0.999582	
ENST00000283905.8	OTHER	0.001074	0.998926	
ENST00000287461.8	OTHER	0.003268	0.996732	
ENST00000287656.11	SP(Sec/SPI)	0.992155	0.007845	CS pos: 23-24. AMA-GS. Pr: 0.8988
ENST00000287706.8	OTHER	0.001304	0.998696	
ENST00000293861.8	OTHER	0.000735	0.999265	
ENST00000295488.8	OTHER	0.002951	0.997049	
ENST00000295757.8	OTHER	0.000235	0.999765	
ENST00000298912.9	OTHER	0.000716	0.999284	
ENST00000299550.10	OTHER	0.004297	0.995703	
ENST00000301073.4	OTHER	0.000649	0.999351	
ENST00000301183.15	OTHER	0.000561	0.999439	
ENST00000301457.3	OTHER	0.000920	0.999080	
ENST00000302490.12	OTHER	0.000668	0.999332	
ENST00000302804.12	OTHER	0.001918	0.998082	
ENST00000304338.8	OTHER	0.000597	0.999403	
ENST00000304449.7	OTHER	0.000264	0.999736	
ENST00000304538.10	OTHER	0.001143	0.998857	
ENST00000305883.6	OTHER	0.000921	0.999079	
ENST00000306072.10	OTHER	0.001323	0.998677	
ENST00000307259.9	OTHER	0.189194	0.810806	
ENST00000308197.9	OTHER	0.067213	0.932787	
ENST00000310594.7	SP(Sec/SPI)	0.989831	0.010169	CS pos: 17-18. SWA-QL. Pr: 0.4953
ENST00000312108.12	OTHER	0.000833	0.999167	
ENST00000314340.10	OTHER	0.011464	0.988536	
ENST00000315467.9	OTHER	0.029565	0.970435	
ENST00000316105.7	SP(Sec/SPI)	0.867283	0.132717	CS pos: 26-27. SLA-GS. Pr: 0.4399
ENST00000317338.17	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000317868.9	OTHER	0.000496	0.999504	
ENST00000320474.10	OTHER	0.004962	0.995038	
ENST00000321510.7	OTHER	0.006403	0.993597	
ENST00000324868.13	OTHER	0.031716	0.968284	
ENST00000328839.3	OTHER	0.000597	0.999403	
ENST00000330947.6	OTHER	0.036120	0.963880	
ENST00000332496.10	SP(Sec/SPI)	0.996391	0.003609	CS pos: 43-44. TWA-LS. Pr: 0.9823
ENST00000332674.9	OTHER	0.008961	0.991039	
ENST00000334888.9	OTHER	0.000854	0.999146	
ENST00000335542.13	SP(Sec/SPI)	0.992810	0.007190	CS pos: 23-24. AMA-GS. Pr: 0.8994
ENST00000335960.10	SP(Sec/SPI)	0.994585	0.005415	CS pos: 19-20. AHG-LS. Pr: 0.4972
ENST00000336737.8	OTHER	0.013455	0.986545	
ENST00000336904.7	OTHER	0.001518	0.998482	
ENST00000337817.9	OTHER	0.000955	0.999045	
ENST00000340748.8	OTHER	0.001725	0.998275	
ENST00000342058.8	SP(Sec/SPI)	0.999022	0.000978	CS pos: 25-26. AQA-QC. Pr: 0.5427
ENST00000343882.10	OTHER	0.000398	0.999602	
ENST00000345317.7	OTHER	0.000445	0.999555	
ENST00000345378.7	OTHER	0.000742	0.999258	
ENST00000350060.10	OTHER	0.000303	0.999697	
ENST00000354947.10	OTHER	0.001741	0.998259	
ENST00000355754.7	OTHER	0.001174	0.998826	
ENST00000356132.8	OTHER	0.309511	0.690489	
ENST00000356768.8	OTHER	0.003564	0.996436	
ENST00000357700.11	OTHER	0.001519	0.998481	
ENST00000357702.9	OTHER	0.002672	0.997328	
ENST00000357955.6	OTHER	0.001604	0.998396	
ENST00000358147.8	OTHER	0.004934	0.995066	
ENST00000358171.8	SP(Sec/SPI)	0.997681	0.002319	CS pos: 18-19. ALA-AE. Pr: 0.9151
ENST00000358514.9	OTHER	0.001447	0.998553	
ENST00000358825.9	OTHER	0.001375	0.998625	
ENST00000358896.10	OTHER	0.012289	0.987711	
ENST00000359114.9	OTHER	0.000315	0.999685	
ENST00000359213.7	SP(Sec/SPI)	0.599904	0.400096	CS pos: 29-30. GWA-TS. Pr: 0.4081
ENST00000359526.9	OTHER	0.001725	0.998275	
ENST00000359774.8	OTHER	0.004934	0.995066	
