Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	ENST00000482771.1	569	168	0.9403	0.0620892922056	0.049700501053778	no
1	ENST00000373463.8	1030	669	1.1609	0.467124111348	0.99699730700872	yes
2	ENST00000474144.5	748	570	1.1541	0.496887144617	0.99280499786392	yes
3	ENST00000475208.5	768	567	1.1807	0.472854130826	0.9919850332589	yes
4	ENST00000463914.1	606	243	1.0502	0.333562197111	0.49888856266703	yes
5	ENST00000624604.3	498	153	0.6707	-0.138573079784	0.0050638085744706	no
6	ENST00000444665.5	371	75	1.0629	-0.139233558358	0.0074782705455308	no
7	ENST00000598739.1	262	153	0.8223	-0.0987747263794	0.010695874919865	no
8	ENST00000624135.3	526	198	0.8552	-0.0159421957061	0.032096679254973	no
9	ENST00000623609.1	355	75	1.1574	-0.580593144998	0.00055034466196698	no
10	ENST00000317633.13	963	189	1.1099	0.329141764103	0.38898883614845	yes
11	ENST00000511162.1	328	114	0.8344	0.00530661925173	0.014377661076904	no
12	ENST00000354833.7	1889	333	0.6964	0.03482664516	0.10035336888202	no
13	ENST00000504458.1	569	228	0.7578	0.143373842336	0.087960931298674	no
14	ENST00000507348.5	663	147	0.9805	0.306899575094	0.1914119870327	no
15	ENST00000512868.6	532	267	0.8812	0.0340828731579	0.095456585257892	no
16	ENST00000503509.1	632	147	0.9805	0.306899575094	0.19170348238153	no
17	ENST00000243997.8	3610	213	0.4725	-0.276823692127	0.0017326969580614	no
18	ENST00000395663.1	697	156	0.9284	0.282664993992	0.15851433652848	no
19	ENST00000395659.1	1878	162	0.4203	-0.287863317899	0.00087582154528336	no
20	ENST00000382734.9	1364	396	0.7277	-0.0605251606709	0.11800045035176	no
21	ENST00000415709.5	538	321	0.9143	0.0312783699183	0.17082240852221	no
22	ENST00000354451.6	1560	291	0.7436	0.0436398305799	0.08159052680656	no
23	ENST00000509460.2	701	276	0.7893	-0.0656295977887	0.042745439515728	no
24	ENST00000609084.1	1693	219	0.6826	-0.11064380853	0.011917525204129	no
25	ENST00000609513.1	2819	360	0.4795	-0.286322550982	0.0084952422351527	no
26	ENST00000316084.10	1474	792	1.0669	0.333978709432	0.99735830148405	yes
27	ENST00000373626.4	594	369	1.1073	0.300451405434	0.78907333469162	yes
