"","isoform_id","ES","ES_genomic_start","ES_genomic_end","MEE","MEE_genomic_start","MEE_genomic_end","MES","MES_genomic_start","MES_genomic_end","IR","IR_genomic_start","IR_genomic_end","A5","A5_genomic_start","A5_genomic_end","A3","A3_genomic_start","A3_genomic_end","ATSS","ATSS_genomic_start","ATSS_genomic_end","ATTS","ATTS_genomic_start","ATTS_genomic_end"
"11","ENST00000415709.5",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25448105","25448284",1,"25459976;25509183;25510037;25510629;25519923;25520682","25461678;25509342;25510070;25511628;25520162;25520854"
"1","ENST00000444665.5",0,NA,NA,0,NA,NA,1,"95248700;95248968;95260822","95248797;95249448;95261131",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"95243167","95243225"
"25","ENST00000463914.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"32898126;32901223","32898319;32901438",1,"32894594","32894879"
"16","ENST00000373626.4",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"72272042;72273232;72273801","72272772;72273389;72273972"
"15","ENST00000316084.10",1,"72274255","72274435",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"23","ENST00000512868.6",0,NA,NA,0,NA,NA,1,"70905185;70907734","70905541;70908375",0,NA,NA,0,NA,NA,1,"70901682","70901825",1,"70900665;70900978","70900876;70900981",1,"70917134","70918530"
"8","ENST00000395663.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"59032292","59032345",1,"59025475","59025973"
"6","ENST00000243997.8",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"59026469","59028841",1,"59032335","59032345",0,NA,NA
"13","ENST00000609084.1",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,"25448105;25455712;25457259;25459416","25448284;25455840;25457401;25459681",1,"25461668;25509183;25510037;25510629;25519923;25520682","25461678;25509342;25510070;25511628;25520162;25520854"
"9","ENST00000354451.6",1,"25459976","25461678",0,NA,NA,0,NA,NA,0,NA,NA,1,"25459515","25459681",0,NA,NA,1,"25448105;25455712","25448284;25455718",1,"25519923;25520682","25520162;25520854"
"14","ENST00000609513.1",0,NA,NA,0,NA,NA,0,NA,NA,1,25520163,25520681,0,NA,NA,0,NA,NA,1,"25448105;25455712;25457259;25459416;25459976;25509183;25510037;25510629","25448284;25455840;25457401;25459681;25461678;25509342;25510070;25511628",1,"25520853","25520854"
